Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Maxi Kleber,53,7.29,105,14.29,1.9,2.86,66.67%,1.9,4.76,40.00%,40.00%,4.76,3.81,0.0,5.71,0.0,100.00%,100.00%,100.00%,62.50%,0.5,62.50%,68.18%,0.0,0.0,0.00%,0.0,0.00%,8.87
Jarred Vanderbilt,179,-5.11,366,12.84,2.46,5.74,42.86%,1.91,4.92,38.89%,38.89%,2.19,3.28,1.64,5.74,0.0,66.67%,75.00%,100.00%,46.15%,0.6,50.00%,52.22%,0.55,1.37,23.81%,0.0,0.00%,13.44
Luka Dončić,273,1.25,574,56.62,11.5,18.82,61.11%,5.75,16.55,34.74%,34.74%,16.38,5.57,17.42,5.23,12.02,24.24%,25.00%,30.30%,46.80%,0.5,56.90%,64.74%,0.7,0.35,1.85%,0.35,2.11%,43.46
Rui Hachimura,220,0.61,460,21.3,6.52,10.43,62.50%,1.96,4.13,47.37%,47.37%,2.39,10.87,2.17,5.87,0.0,83.33%,86.21%,100.00%,28.36%,0.52,64.93%,66.22%,0.43,0.87,8.33%,0.0,0.00%,15.12
Jake LaRavia,311,-3.42,650,16.46,4.46,7.23,61.70%,1.38,5.54,25.00%,25.00%,3.38,5.54,3.38,4.15,0.0,62.07%,75.00%,100.00%,43.37%,0.56,51.20%,55.15%,1.54,0.46,6.38%,0.15,2.78%,14.5
Dalton Knecht,135,-8.68,283,13.43,2.83,4.59,61.54%,2.47,9.89,25.00%,25.00%,0.35,2.12,3.53,7.42,0.0,37.50%,50.00%,100.00%,68.29%,0.51,45.12%,45.24%,1.41,0.71,15.38%,0.0,0.00%,14.29
Marcus Smart,207,0.31,427,16.16,3.04,5.39,56.52%,1.87,8.9,21.05%,21.05%,4.45,2.34,3.75,4.92,0.7,38.46%,38.46%,87.50%,62.30%,0.54,40.98%,49.29%,0.0,0.23,4.35%,0.23,2.63%,18.52
Nick Smith Jr.,104,-1.05,216,24.54,5.56,10.19,54.55%,4.17,11.11,37.50%,37.50%,0.93,0.93,10.19,8.33,4.17,8.33%,8.33%,66.67%,52.17%,0.49,55.43%,56.38%,0.0,0.93,9.09%,0.0,0.00%,21.9
Jaxson Hayes,139,5.39,292,21.23,8.22,10.62,77.42%,0.0,0.0,0.00%,0.00%,4.79,13.01,3.42,0.0,0.0,79.17%,90.48%,0.00%,0.00%,0.63,77.42%,79.49%,2.05,0.34,3.23%,0.0,0.00%,12.57
Bronny James,60,-10.86,118,10.17,1.69,6.78,25.00%,1.69,5.08,33.33%,33.33%,1.69,3.39,0.0,5.08,0.0,100.00%,100.00%,100.00%,42.86%,0.49,35.71%,40.00%,0.0,1.69,25.00%,0.0,0.00%,16.3
Adou Thiero,17,-12.77,29,20.69,6.9,6.9,100.00%,0.0,0.0,0.00%,0.00%,6.9,13.79,0.0,0.0,0.0,100.00%,100.00%,0.00%,0.00%,0.68,100.00%,100.00%,0.0,0.0,0.00%,0.0,0.00%,15.15
Gabe Vincent,32,-22.1,69,2.9,1.45,1.45,100.00%,0.0,8.7,0.00%,0.00%,0.0,0.0,2.9,0.0,0.0,0.00%,0.00%,0.00%,85.71%,0.51,14.29%,14.29%,0.0,0.0,0.00%,0.0,0.00%,10.26
Drew Timme,2,-33.33,3,66.67,33.33,33.33,100.00%,0.0,33.33,0.00%,0.00%,0.0,66.67,0.0,0.0,0.0,100.00%,100.00%,0.00%,50.00%,0.45,50.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,50.0
Deandre Ayton,179,-8.26,372,27.42,12.63,17.2,73.44%,0.0,0.0,0.00%,0.00%,2.15,18.82,6.45,0.0,0.0,74.47%,94.59%,0.00%,0.00%,0.53,73.44%,72.86%,5.38,0.54,3.13%,0.0,0.00%,20.05
Christian Koloko,6,-58.33,10,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0
Chris Mañon,1,200.0,1,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0
