Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Maxi Kleber,65,3.38,4.38,0.73,33.33%,3.65,20.83%,0.0,0.00%,9.43%,2.33,0.0,0.00%,0.0,0.00%,2.33,7.69%,4.92%,28.57%,23.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.06%,16.67%,0,0.00%
Jarred Vanderbilt,135,6.63,8.82,1.1,27.27%,1.84,11.63%,5.88,25.00%,19.63%,4.43,0.37,8.33%,1.11,5.77%,2.95,12.12%,9.32%,25.00%,3.70%,25.00%,21.28%,35.29%,18.75%,0.00%,0.00%,13.73%,6.67%,1,11.11%
Luka Dončić,125,5.22,8.98,1.56,44.44%,3.52,16.67%,3.91,18.18%,17.43%,1.53,0.0,0.00%,1.15,6.38%,0.38,1.35%,3.31%,5.88%,14.29%,44.44%,13.64%,36.36%,0.00%,8.70%,8.33%,0.00%,5.88%,3,6.98%
Jake LaRavia,185,4.49,5.57,0.27,7.69%,3.45,17.33%,1.86,8.86%,12.99%,3.41,0.0,0.00%,1.31,6.49%,2.1,8.16%,7.43%,7.41%,25.00%,16.67%,8.06%,11.76%,14.29%,2.44%,6.67%,7.89%,9.09%,0,0.00%
Nick Smith Jr.,93,1.88,3.19,0.0,0.00%,0.0,0.00%,3.19,15.38%,8.82%,0.54,0.0,0.00%,0.54,2.38%,0.0,0.00%,1.23%,0.00%,0.00%,0.00%,16.67%,11.11%,0.00%,4.76%,0.00%,0.00%,0.00%,1,5.00%
Dalton Knecht,85,2.86,5.0,0.56,16.67%,1.67,8.11%,2.78,13.51%,10.81%,0.59,0.0,0.00%,0.59,3.45%,0.0,0.00%,1.41%,0.00%,9.52%,12.50%,11.54%,18.18%,0.00%,6.25%,0.00%,0.00%,0.00%,0,0.00%
Marcus Smart,105,2.63,3.81,0.48,20.00%,0.95,5.13%,2.38,10.87%,8.24%,1.44,0.0,0.00%,0.0,0.00%,1.44,5.56%,3.33%,0.00%,4.35%,16.67%,11.43%,9.09%,0.00%,0.00%,0.00%,4.76%,8.33%,1,3.70%
LeBron James,124,3.19,5.56,0.0,0.00%,2.38,13.04%,3.17,12.90%,12.96%,0.8,0.0,0.00%,0.4,2.08%,0.4,1.54%,1.77%,12.50%,12.50%,16.67%,12.00%,16.67%,0.00%,4.35%,0.00%,1.89%,0.00%,0,0.00%
Jaxson Hayes,121,6.78,7.88,0.0,0.00%,5.39,22.81%,2.49,11.32%,17.27%,5.69,0.0,0.00%,2.85,14.00%,2.85,10.61%,12.07%,20.00%,29.63%,10.00%,9.76%,16.67%,23.08%,8.00%,16.67%,8.00%,18.75%,1,25.00%
Bronny James,40,1.17,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,2.5,0.0,0.00%,0.0,0.00%,2.5,11.11%,6.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.50%,0.00%,0,0.00%
