Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Maxi Kleber,53,1.75,1.75,0.0,1.75,0.0,0.0,0.0,0.0,0.88,50.00%,0.0,0,0,0.0
Jarred Vanderbilt,179,0.83,0.83,0.0,0.83,0.0,0.0,0.0,0.0,0.83,100.00%,1.1,1,3,0.0
Luka Dončić,273,0.71,0.71,0.0,0.35,0.35,0.0,0.0,0.0,0.71,100.00%,2.47,1,13,0.0
Rui Hachimura,220,0.21,0.21,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.00%,1.06,2,3,0.0
Jake LaRavia,311,0.31,0.31,0.0,0.15,0.15,0.0,0.0,0.0,0.15,50.00%,2.16,6,8,0.0
Dalton Knecht,135,0.68,0.34,0.34,0.0,0.34,0.0,0.0,0.34,0.68,100.00%,1.37,2,2,0.0
Marcus Smart,207,0.47,0.47,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.00%,2.8,1,11,0.0
Nick Smith Jr.,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.88,2,0,0.0
Jaxson Hayes,139,1.72,1.72,0.0,1.03,0.69,0.0,0.0,0.0,0.34,20.00%,1.72,1,4,0.0
Bronny James,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,3.05,0,4,0.0
Adou Thiero,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,2.7,1,0,0.0
Gabe Vincent,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,2.78,2,0,0.0
Drew Timme,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,16.67,0,1,0.0
Deandre Ayton,179,2.14,2.14,0.0,1.07,1.07,0.0,0.0,0.0,1.07,50.00%,0.54,0,2,0.0
Christian Koloko,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Chris Mañon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
