Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Maxi Kleber,65,0.78,0.78,0.0,100.00%,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0
Jarred Vanderbilt,135,3.32,1.85,1.48,55.56%,1.48,0.0,0.37,0.37,0.0,0.0,0.37,0.37
Luka Dončić,125,6.9,5.75,1.15,83.33%,1.53,0.77,4.21,0.0,0.0,0.0,0.0,0.0
Jake LaRavia,185,2.36,1.57,0.79,66.67%,0.79,0.0,0.79,0.52,0.0,0.0,0.0,0.0
Nick Smith Jr.,93,2.72,2.72,0.0,100.00%,0.54,0.0,2.17,0.0,0.0,0.0,0.0,0.0
Dalton Knecht,85,1.76,1.18,0.59,66.67%,0.59,0.0,0.59,0.0,0.0,0.0,0.59,0.0
Marcus Smart,105,2.87,1.44,1.44,50.00%,0.48,0.0,0.96,0.48,0.0,0.0,0.0,0.0
LeBron James,124,4.02,2.41,1.61,60.00%,2.41,0.0,0.0,0.8,0.0,0.0,0.0,0.0
Jaxson Hayes,121,1.63,0.0,1.63,0.00%,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0
Bronny James,40,6.25,3.75,2.5,60.00%,0.0,1.25,3.75,0.0,0.0,0.0,0.0,0.0
Adou Thiero,25,4.65,4.65,0.0,100.00%,0.0,0.0,4.65,0.0,0.0,0.0,0.0,0.0
Gabe Vincent,43,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Timme,2,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deandre Ayton,43,1.14,1.14,0.0,100.00%,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Koloko,6,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Mañon,1,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
