Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Jaren Jackson Jr.,498,3.53,9.07,1.53,2.01,0.76,0.67,0.1,0.76,1.24
Jock Landale,453,3.84,9.81,1.71,2.13,0.75,0.43,0.53,0.53,1.6
Brandon Clarke,20,2.13,6.38,0.0,2.13,0.0,0.0,0.0,0.0,2.13
Santi Aldama,627,5.73,14.3,2.91,2.83,1.68,1.07,0.15,1.15,1.68
Cedric Coward,344,6.23,14.54,4.16,2.08,2.49,1.39,0.28,0.42,1.66
John Konchar,123,6.15,14.23,4.23,1.92,1.92,1.54,0.77,0.38,1.54
Kentavious Caldwell-Pope,471,7.08,16.82,4.41,2.67,2.26,1.85,0.31,0.82,1.85
Vince Williams Jr.,242,6.22,15.26,3.41,2.81,1.41,1.61,0.4,1.0,1.81
Cam Spencer,584,11.52,27.42,7.13,4.39,4.06,2.49,0.58,1.24,3.15
Jaylen Wells,429,3.52,9.09,1.48,2.05,0.91,0.34,0.23,0.57,1.48
GG Jackson,128,2.64,6.04,1.89,0.75,1.13,0.75,0.0,0.75,0.0
Javon Small,130,11.31,27.37,6.57,4.74,1.82,4.01,0.73,1.09,3.65
Olivier-Maxence Prosper,128,3.99,9.42,2.54,1.45,1.09,1.09,0.36,0.0,1.45
Jahmai Mashack,11,8.7,17.39,8.7,0.0,4.35,4.35,0.0,0.0,0.0
Charles Bassey,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Koloko,83,1.69,4.49,0.56,1.12,0.0,0.56,0.0,1.12,0.0
PJ Hall,4,14.29,28.57,14.29,0.0,0.0,0.0,14.29,0.0,0.0
