Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Jaren Jackson Jr.,498,-4.17,1047,31.71,8.88,17.67,50.27%,2.96,7.35,40.26%,40.26%,5.06,9.55,8.21,8.88,0.0,53.76%,56.18%,100.00%,29.39%,0.51,53.24%,57.04%,0.76,1.62,9.19%,0.19,2.60%,27.99
Jock Landale,453,-1.38,938,28.25,8.42,14.61,57.66%,2.77,7.14,38.81%,38.81%,3.09,11.94,4.9,8.32,0.0,70.89%,90.32%,100.00%,32.84%,0.55,57.84%,58.37%,3.62,1.6,10.95%,0.0,0.00%,22.57
Brandon Clarke,20,-25.53,47,17.02,6.38,19.15,33.33%,0.0,0.0,0.00%,0.00%,4.26,8.51,4.26,0.0,0.0,66.67%,100.00%,0.00%,0.00%,0.53,33.33%,36.36%,4.26,6.38,33.33%,0.0,0.00%,20.0
Santi Aldama,627,-3.45,1308,25.0,6.35,12.16,52.20%,2.83,8.72,32.46%,32.46%,3.82,10.4,2.29,8.26,0.23,81.93%,93.15%,97.30%,41.76%,0.54,50.73%,54.32%,1.53,0.54,4.40%,0.0,0.00%,22.0
Cedric Coward,344,-0.42,722,25.76,6.37,10.11,63.01%,2.35,7.62,30.91%,30.91%,5.96,6.09,6.65,6.23,0.83,47.83%,56.41%,88.24%,42.97%,0.55,55.86%,62.00%,1.94,0.97,9.59%,0.0,0.00%,20.56
John Konchar,123,-10.91,260,11.92,3.46,4.23,81.82%,1.15,5.0,23.08%,23.08%,1.54,5.38,1.54,3.46,0.0,77.78%,87.50%,100.00%,54.17%,0.63,56.25%,59.62%,0.77,0.38,9.09%,0.0,0.00%,10.14
Kentavious Caldwell-Pope,471,-5.41,975,18.26,3.49,7.59,45.95%,2.77,8.21,33.75%,33.75%,2.97,5.33,1.64,6.46,1.85,76.47%,76.47%,77.78%,51.95%,0.52,48.38%,52.68%,0.0,0.72,9.46%,0.1,1.25%,17.27
Vince Williams Jr.,242,5.76,498,18.67,2.21,5.02,44.00%,3.82,11.85,32.20%,32.20%,2.81,1.2,3.21,10.84,0.6,27.27%,33.33%,94.74%,70.24%,0.55,47.02%,51.67%,0.8,0.6,12.00%,0.0,0.00%,19.06
Cam Spencer,584,4.34,1207,25.19,3.48,6.13,56.76%,4.81,9.69,49.57%,49.57%,3.81,3.15,3.81,10.94,3.48,45.24%,46.34%,75.86%,61.26%,0.53,67.54%,70.38%,0.17,0.58,9.46%,0.08,0.85%,17.95
Jaylen Wells,429,0.02,880,20.11,4.66,9.32,50.00%,2.39,8.64,27.63%,27.63%,3.64,5.0,4.32,6.82,0.34,53.66%,56.41%,95.24%,48.10%,0.53,45.89%,50.28%,0.45,0.8,8.54%,0.11,1.32%,18.68
GG Jackson,128,15.53,265,23.4,6.04,8.68,69.57%,2.64,7.55,35.00%,35.00%,3.4,7.55,4.53,7.92,0.0,62.50%,66.67%,100.00%,46.51%,0.53,61.63%,64.58%,0.75,0.38,4.35%,0.0,0.00%,17.55
Javon Small,130,-1.8,274,10.58,2.19,5.84,37.50%,1.46,7.66,19.05%,19.05%,1.82,2.92,1.46,4.38,0.0,66.67%,66.67%,100.00%,56.76%,0.55,32.43%,37.18%,0.0,1.82,31.25%,0.0,0.00%,15.46
Olivier-Maxence Prosper,128,-7.19,276,19.57,4.71,7.61,61.90%,2.17,6.16,35.29%,35.29%,3.62,7.25,2.17,6.52,0.0,76.92%,76.92%,100.00%,44.74%,0.56,57.89%,64.29%,0.0,0.72,9.52%,0.0,0.00%,14.77
Jahmai Mashack,11,-53.95,23,0.0,0.0,4.35,0.00%,0.0,4.35,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,50.00%,0.44,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,19.23
Charles Bassey,8,-49.41,15,13.33,6.67,26.67,25.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,13.33,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.53,25.00%,25.00%,13.33,6.67,25.00%,0.0,0.00%,26.32
Christian Koloko,83,24.08,178,7.87,3.93,7.3,53.85%,0.0,0.56,0.00%,0.00%,0.0,5.62,2.25,0.0,0.0,71.43%,100.00%,0.00%,7.14%,0.56,50.00%,50.00%,2.25,0.56,7.69%,0.0,0.00%,7.92
PJ Hall,4,110.39,7,28.57,0.0,14.29,0.00%,0.0,0.0,0.00%,0.00%,28.57,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.42,0.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,22.22
