Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Jaren Jackson Jr.,423,4.92,8.14,0.22,9.09%,3.9,17.59%,4.01,16.00%,16.75%,1.68,0.22,11.11%,1.23,4.98%,0.22,0.98%,3.05%,18.97%,18.02%,13.33%,15.73%,17.02%,11.86%,2.26%,3.45%,1.31%,0.00%,6,7.23%
Jock Landale,499,6.3,6.41,0.57,24.00%,3.15,15.07%,2.68,13.66%,14.39%,6.2,0.29,17.65%,3.44,13.58%,2.48,10.36%,12.02%,16.67%,16.38%,4.00%,15.19%,8.51%,15.73%,12.98%,11.11%,11.34%,7.02%,3,3.90%
Ja Morant,336,2.98,5.14,0.28,10.53%,2.64,11.38%,2.22,12.03%,11.67%,0.83,0.0,0.00%,0.28,1.12%,0.55,2.22%,1.67%,9.26%,12.90%,10.00%,11.65%,13.33%,0.00%,2.13%,0.00%,2.86%,0.00%,2,1.82%
Cam Spencer,437,2.44,4.19,0.11,5.56%,2.97,14.59%,1.1,5.00%,9.61%,0.67,0.0,0.00%,0.22,0.91%,0.45,1.85%,1.38%,13.11%,13.59%,23.81%,3.70%,10.53%,2.67%,0.00%,0.00%,1.80%,2.04%,0,0.00%
Jaylen Wells,492,3.0,4.54,0.19,10.53%,1.64,7.94%,2.71,12.61%,10.32%,1.45,0.0,0.00%,0.87,3.59%,0.58,2.41%,3.00%,7.58%,4.27%,22.58%,9.71%,23.40%,6.85%,1.53%,4.26%,2.09%,3.45%,5,4.90%
Cedric Coward,353,4.83,6.64,0.13,7.14%,2.34,9.84%,4.17,18.29%,13.97%,3.01,0.0,0.00%,1.18,5.11%,1.83,7.65%,6.41%,16.39%,6.93%,4.76%,17.86%,20.00%,3.17%,6.32%,5.56%,4.32%,18.18%,3,5.45%
Kentavious Caldwell-Pope,478,2.63,4.16,0.2,7.41%,1.39,6.36%,2.57,13.13%,9.57%,1.1,0.0,0.00%,0.6,2.35%,0.5,2.06%,2.21%,8.22%,5.93%,3.45%,15.03%,6.67%,2.63%,2.19%,2.38%,2.08%,1.96%,2,2.44%
Brandon Clarke,18,6.1,4.88,0.0,0.00%,2.44,10.00%,2.44,10.00%,10.00%,7.32,0.0,0.00%,7.32,25.00%,0.0,0.00%,14.29%,0.00%,25.00%,0.00%,12.50%,0.00%,20.00%,28.57%,0.00%,0.00%,0.00%,0,0.00%
Santi Aldama,519,5.75,8.51,0.91,38.46%,2.99,14.41%,4.62,22.08%,18.26%,2.98,0.09,4.17%,1.18,5.16%,1.72,7.14%,6.18%,9.09%,14.53%,25.71%,23.24%,17.39%,7.50%,5.11%,0.00%,7.88%,4.76%,8,7.48%
John Konchar,158,5.22,8.38,0.3,14.29%,3.89,16.46%,4.19,18.67%,17.53%,2.08,0.0,0.00%,0.89,3.70%,1.19,4.82%,4.27%,10.71%,22.22%,0.00%,20.00%,15.00%,6.67%,2.56%,0.00%,3.28%,9.09%,1,7.14%
GG Jackson,47,6.12,12.0,0.0,0.00%,2.0,9.52%,10.0,32.26%,23.08%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,16.67%,8.33%,0.00%,33.33%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Olivier-Maxence Prosper,103,4.53,7.59,1.69,57.14%,4.22,17.86%,1.69,8.89%,13.86%,1.32,0.0,0.00%,0.0,0.00%,1.32,5.45%,2.94%,15.00%,20.69%,14.29%,3.23%,21.43%,0.00%,0.00%,0.00%,7.89%,0.00%,0,0.00%
