Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Jaren Jackson Jr.,498,1.8,1.7,0.09,0.66,1.04,0.0,0.09,0.0,1.14,63.16%,1.33,8,6,0.0
Jock Landale,453,1.27,1.27,0.0,0.64,0.64,0.0,0.0,0.0,0.42,33.33%,1.27,4,8,0.11
Brandon Clarke,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,4.26,1,1,0.0
Santi Aldama,627,1.28,1.21,0.08,0.68,0.45,0.08,0.0,0.08,0.91,70.59%,1.13,7,8,0.08
Cedric Coward,344,0.41,0.41,0.0,0.27,0.14,0.0,0.0,0.0,0.41,100.00%,1.22,5,4,0.14
John Konchar,123,0.38,0.38,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.00%,4.18,5,6,0.0
Kentavious Caldwell-Pope,471,0.31,0.31,0.0,0.0,0.31,0.0,0.0,0.0,0.1,33.33%,1.53,4,11,0.0
Vince Williams Jr.,242,0.78,0.78,0.0,0.59,0.2,0.0,0.0,0.0,0.39,50.00%,1.57,2,6,0.0
Cam Spencer,584,0.16,0.08,0.08,0.0,0.08,0.0,0.0,0.08,0.08,50.00%,1.56,5,14,0.0
Jaylen Wells,429,0.33,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.00%,1.99,6,12,0.0
GG Jackson,128,1.13,1.13,0.0,0.75,0.38,0.0,0.0,0.0,0.0,0.00%,2.26,2,4,0.0
Javon Small,130,0.36,0.36,0.0,0.0,0.36,0.0,0.0,0.0,0.36,100.00%,1.07,2,1,0.0
Olivier-Maxence Prosper,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.35,0,1,0.0
Jahmai Mashack,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,3.7,1,0,0.0
Charles Bassey,8,5.88,5.88,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.00%,5.88,0,1,0.0
Christian Koloko,83,4.4,4.4,0.0,2.2,2.2,0.0,0.0,0.0,3.85,87.50%,4.95,2,7,1.1
PJ Hall,4,9.09,9.09,0.0,0.0,9.09,0.0,0.0,0.0,9.09,100.00%,0.0,0,0,0.0
