Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Jaren Jackson Jr.,498,4.01,1.43,2.58,35.71%,0.86,0.19,0.57,0.19,0.29,0.0,0.1,0.0
Jock Landale,453,2.35,1.17,1.17,50.00%,0.32,0.0,0.85,0.11,0.0,0.0,0.0,0.0
Brandon Clarke,20,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santi Aldama,627,2.22,1.53,0.69,68.97%,0.61,0.15,0.92,0.31,0.08,0.0,0.0,0.0
Cedric Coward,344,2.63,1.8,0.83,68.42%,1.39,0.0,0.42,0.42,0.14,0.0,0.14,0.0
John Konchar,123,1.54,1.15,0.38,75.00%,0.0,0.0,1.15,0.38,0.0,0.0,0.0,0.0
Kentavious Caldwell-Pope,471,2.87,1.64,1.23,57.14%,0.31,0.21,1.33,0.62,0.21,0.0,0.0,0.0
Vince Williams Jr.,242,3.82,2.01,1.81,52.63%,0.6,0.0,1.41,0.8,0.4,0.0,0.0,0.0
Cam Spencer,584,3.15,2.15,0.99,68.42%,0.41,0.17,1.74,0.58,0.08,0.0,0.0,0.0
Jaylen Wells,429,1.93,0.91,1.02,47.06%,0.34,0.23,0.57,0.57,0.0,0.0,0.0,0.0
GG Jackson,128,1.89,0.38,1.51,20.00%,0.0,0.0,0.38,0.75,0.0,0.0,0.75,0.0
Javon Small,130,3.65,2.92,0.73,80.00%,0.36,0.73,2.55,0.0,0.0,0.0,0.0,0.0
Olivier-Maxence Prosper,128,2.17,1.09,1.09,50.00%,0.36,0.36,0.72,0.36,0.0,0.0,0.0,0.0
Jahmai Mashack,11,13.04,4.35,8.7,33.33%,0.0,0.0,4.35,4.35,4.35,0.0,0.0,0.0
Charles Bassey,8,6.67,0.0,6.67,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Koloko,83,1.12,0.56,0.56,50.00%,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0
PJ Hall,4,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
