Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Norman Powell,434,4.86,11.12,3.46,1.4,2.27,0.97,0.22,0.54,0.86
Bam Adebayo,404,3.87,9.39,2.23,1.64,1.88,0.12,0.23,0.12,1.53
Davion Mitchell,375,11.28,28.7,5.14,6.14,2.51,2.01,0.63,1.38,4.76
Dru Smith,397,7.58,18.2,4.55,3.03,2.68,1.52,0.35,1.28,1.75
Jaime Jaquez Jr.,620,6.73,16.93,3.25,3.48,2.12,0.98,0.15,0.83,2.65
Kel'el Ware,400,0.83,2.0,0.47,0.35,0.24,0.12,0.12,0.24,0.12
Andrew Wiggins,499,4.0,9.49,2.51,1.49,1.77,0.47,0.28,0.47,1.02
Nikola Jović,267,7.67,18.06,4.94,2.73,3.41,1.36,0.17,1.02,1.7
Keshad Johnson,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasparas Jakučionis,114,3.23,8.06,1.61,1.61,1.21,0.4,0.0,0.4,1.21
Simone Fontecchio,407,4.11,9.71,2.63,1.49,1.26,1.03,0.34,0.46,1.03
Myron Gardner,18,2.5,7.5,0.0,2.5,0.0,0.0,0.0,2.5,0.0
Jahmir Young,8,6.25,18.75,0.0,6.25,0.0,0.0,0.0,0.0,6.25
Vladislav Goldin,1,50.0,150.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0
