Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Norman Powell,434,2.73,926,36.5,7.78,14.47,53.73%,4.0,10.69,37.37%,37.37%,8.96,7.78,7.78,10.04,1.94,50.00%,51.43%,83.78%,42.49%,0.54,54.72%,62.41%,0.43,1.3,8.96%,0.11,1.01%,28.34
Bam Adebayo,404,0.14,852,23.0,6.57,13.15,50.00%,1.53,5.63,27.08%,27.08%,5.28,8.45,4.69,4.58,0.0,64.29%,67.92%,100.00%,30.00%,0.52,47.19%,52.14%,0.7,0.7,5.36%,0.0,0.00%,22.35
Davion Mitchell,375,7.61,798,18.55,4.76,9.02,52.78%,2.51,5.39,46.51%,46.51%,1.5,3.76,5.76,6.39,1.13,39.47%,39.47%,85.00%,37.39%,0.55,59.13%,59.20%,0.0,0.75,8.33%,0.13,2.33%,15.92
Dru Smith,397,3.17,857,17.74,3.97,8.4,47.22%,1.87,6.18,30.19%,30.19%,4.2,3.97,3.97,4.55,1.05,50.00%,54.84%,81.25%,42.40%,0.55,46.40%,52.46%,0.7,1.28,15.28%,0.23,3.77%,15.96
Jaime Jaquez Jr.,620,5.78,1323,25.62,9.98,17.08,58.41%,0.76,2.95,25.64%,25.64%,3.4,8.92,11.04,2.27,0.0,44.70%,46.83%,100.00%,14.72%,0.53,55.47%,57.26%,0.91,1.28,7.52%,0.0,0.00%,22.53
Kel'el Ware,400,1.76,848,26.77,6.96,11.79,59.00%,3.18,5.78,55.10%,55.10%,3.3,9.67,4.25,9.55,0.0,69.49%,95.35%,100.00%,32.89%,0.58,66.78%,69.21%,3.77,0.83,7.00%,0.0,0.00%,17.64
Andrew Wiggins,499,2.77,1075,18.33,5.02,9.4,53.47%,2.05,5.86,34.92%,34.92%,2.14,4.47,5.58,5.86,0.28,44.44%,57.14%,95.45%,38.41%,0.55,53.05%,54.72%,2.23,0.56,5.94%,0.09,1.59%,16.92
Nikola Jović,267,12.15,587,17.38,3.24,7.5,43.18%,2.39,8.86,26.92%,26.92%,3.75,4.43,2.04,7.16,0.0,68.42%,81.25%,100.00%,54.17%,0.55,41.67%,46.36%,1.02,0.85,11.36%,0.0,0.00%,19.31
Keshad Johnson,71,-0.53,148,17.57,4.05,8.78,46.15%,2.03,7.43,27.27%,27.27%,3.38,2.7,5.41,6.08,0.0,33.33%,50.00%,100.00%,45.83%,0.61,43.75%,48.15%,2.7,1.35,15.38%,0.0,0.00%,15.76
Kasparas Jakučionis,114,-5.1,248,16.53,1.21,6.05,20.00%,3.63,7.66,47.37%,47.37%,3.23,0.81,1.61,10.89,0.0,33.33%,33.33%,100.00%,55.88%,0.56,48.53%,53.95%,0.0,2.02,33.33%,0.4,5.26%,14.78
Simone Fontecchio,407,4.68,875,24.91,2.4,5.94,40.38%,5.26,13.03,40.35%,40.35%,4.34,3.66,1.14,15.09,0.69,76.19%,88.89%,95.65%,68.67%,0.55,54.22%,59.62%,0.69,0.8,13.46%,0.11,0.88%,19.96
Myron Gardner,18,-5.51,40,12.5,2.5,2.5,100.00%,2.5,7.5,33.33%,33.33%,0.0,5.0,0.0,7.5,0.0,100.00%,100.00%,100.00%,75.00%,0.54,62.50%,62.50%,0.0,0.0,0.00%,0.0,0.00%,8.33
Jahmir Young,8,-6.25,16,0.0,0.0,0.0,0.00%,0.0,6.25,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,100.00%,0.59,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,10.53
Vladislav Goldin,1,0.0,2,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0
