Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Norman Powell,434,3.48,6.06,0.11,4.17%,3.08,13.68%,2.87,12.05%,12.84%,0.86,0.0,0.00%,0.43,1.59%,0.43,2.21%,1.85%,13.04%,13.76%,14.71%,12.22%,11.36%,1.03%,2.29%,0.00%,2.19%,2.27%,3,2.73%
Bam Adebayo,404,7.65,12.43,0.7,42.86%,6.27,27.00%,5.46,23.15%,25.06%,2.82,0.0,0.00%,1.06,4.19%,1.76,8.29%,6.06%,21.43%,32.26%,24.32%,21.66%,28.26%,3.90%,5.31%,0.00%,9.02%,6.25%,1,1.20%
Davion Mitchell,375,1.93,3.35,0.12,5.56%,1.74,7.18%,1.49,5.97%,6.57%,0.5,0.13,4.55%,0.13,0.49%,0.25,1.29%,0.83%,8.96%,4.40%,10.81%,5.56%,7.69%,0.00%,1.01%,0.00%,1.68%,0.00%,1,2.00%
Dru Smith,397,3.13,3.8,0.12,4.55%,1.27,5.58%,2.42,8.30%,7.11%,2.45,0.12,3.70%,1.05,4.11%,1.28,5.53%,4.78%,3.75%,7.29%,4.76%,8.38%,8.06%,4.65%,4.27%,0.00%,5.48%,5.66%,4,6.56%
Jaime Jaquez Jr.,620,4.14,6.66,0.75,27.78%,2.47,10.54%,3.44,12.47%,11.58%,1.59,0.0,0.00%,1.06,4.29%,0.53,2.33%,3.35%,6.67%,13.01%,12.77%,11.62%,15.29%,6.25%,3.49%,0.00%,2.27%,2.47%,4,3.88%
Kel'el Ware,400,9.92,13.29,0.92,42.11%,6.01,26.94%,6.36,24.34%,25.54%,6.49,0.0,0.00%,5.07,17.55%,1.42,6.86%,13.10%,24.66%,28.89%,26.67%,24.32%,24.39%,17.89%,18.11%,13.04%,5.19%,12.50%,10,17.86%
Andrew Wiggins,499,3.57,4.25,0.46,17.24%,2.03,8.66%,1.76,6.71%,7.64%,2.88,0.0,0.00%,1.67,6.23%,1.21,5.83%,6.05%,12.12%,6.25%,6.98%,6.25%,8.47%,4.96%,7.80%,3.70%,4.76%,9.09%,4,5.00%
Nikola Jović,267,3.82,6.25,0.34,13.33%,2.2,9.70%,3.72,12.79%,11.44%,1.36,0.0,0.00%,0.34,1.57%,1.02,4.41%,3.04%,9.62%,11.48%,4.76%,13.18%,11.63%,0.00%,2.99%,0.00%,5.05%,2.70%,0,0.00%
Keshad Johnson,71,4.95,5.16,0.65,20.00%,1.29,5.56%,3.23,16.67%,10.61%,4.73,1.35,28.57%,1.35,5.26%,2.03,8.11%,6.67%,13.33%,0.00%,0.00%,20.00%,0.00%,6.67%,4.76%,0.00%,8.70%,7.14%,0,0.00%
Kasparas Jakučionis,114,2.61,2.8,0.0,0.00%,0.4,2.17%,2.4,10.17%,6.67%,2.42,0.0,0.00%,1.61,5.56%,0.81,3.08%,4.38%,5.26%,0.00%,0.00%,9.09%,13.33%,8.57%,3.13%,0.00%,2.08%,5.88%,2,13.33%
Simone Fontecchio,407,3.89,6.29,0.11,5.56%,3.66,16.00%,2.52,8.87%,12.05%,1.49,0.11,3.85%,0.46,1.89%,0.91,3.72%,2.81%,14.10%,20.43%,6.90%,8.70%,9.38%,3.75%,0.85%,0.00%,4.32%,1.89%,3,3.30%
Myron Gardner,18,2.53,2.56,0.0,0.00%,0.0,0.00%,2.56,20.00%,10.00%,2.5,0.0,0.00%,2.5,6.67%,0.0,0.00%,4.76%,0.00%,0.00%,0.00%,0.00%,50.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Jahmir Young,8,2.94,5.56,0.0,0.00%,5.56,20.00%,0.0,0.00%,14.29%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Vladislav Goldin,1,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
