Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Norman Powell,434,0.43,0.43,0.0,0.21,0.21,0.0,0.0,0.0,0.43,100.00%,1.7,8,8,0.0
Bam Adebayo,404,0.46,0.35,0.12,0.23,0.12,0.0,0.12,0.0,0.23,50.00%,1.51,1,12,0.23
Davion Mitchell,375,0.37,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.37,100.00%,1.86,8,7,0.0
Dru Smith,397,0.46,0.46,0.0,0.0,0.46,0.0,0.0,0.0,0.35,75.00%,4.03,17,18,0.0
Jaime Jaquez Jr.,620,0.3,0.3,0.0,0.15,0.15,0.0,0.0,0.0,0.07,25.00%,1.27,7,10,0.07
Kel'el Ware,400,2.08,1.97,0.12,0.92,1.04,0.0,0.0,0.12,0.81,38.89%,1.39,2,10,0.58
Andrew Wiggins,499,1.94,1.76,0.18,1.29,0.28,0.18,0.18,0.0,1.39,71.43%,1.48,7,9,0.0
Nikola Jović,267,0.84,0.84,0.0,0.17,0.68,0.0,0.0,0.0,0.51,60.00%,0.51,0,3,0.0
Keshad Johnson,71,1.94,1.94,0.0,1.94,0.0,0.0,0.0,0.0,0.65,33.33%,1.94,0,3,0.0
Kasparas Jakučionis,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,2.0,2,3,0.0
Simone Fontecchio,407,0.46,0.46,0.0,0.34,0.11,0.0,0.0,0.0,0.23,50.00%,1.14,3,7,0.11
Myron Gardner,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,2.56,1,0,0.0
Jahmir Young,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,5.56,0,1,0.0
Vladislav Goldin,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
