Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Norman Powell,943,2.94,1.32,1.62,45.00%,1.03,0.39,0.29,0.54,0.1,0.0,0.34,0.0
Bam Adebayo,842,2.9,1.62,1.28,55.77%,1.06,0.34,0.56,0.28,0.11,0.0,0.11,0.11
Tyler Herro,201,2.07,1.61,0.46,77.78%,0.69,0.0,0.92,0.46,0.0,0.0,0.0,0.0
Davion Mitchell,1009,2.62,1.61,1.01,61.40%,0.46,0.05,1.15,0.69,0.14,0.0,0.05,0.0
Nikola Jović,468,4.35,2.71,1.64,62.22%,0.87,0.58,1.84,0.1,0.29,0.0,0.0,0.0
Pelle Larsson,608,1.96,1.44,0.53,73.08%,0.15,0.08,1.28,0.3,0.15,0.0,0.0,0.0
Andrew Wiggins,1003,2.31,1.57,0.74,68.00%,0.88,0.23,0.69,0.23,0.05,0.0,0.0,0.05
Dru Smith,591,2.34,1.56,0.78,66.67%,0.78,0.31,0.78,0.23,0.08,0.0,0.08,0.0
Jaime Jaquez Jr.,920,3.39,2.07,1.31,61.19%,0.96,0.25,1.11,0.25,0.3,0.0,0.05,0.0
Kel'el Ware,864,1.83,1.02,0.81,55.88%,0.32,0.11,0.7,0.21,0.0,0.0,0.0,0.11
Simone Fontecchio,516,2.53,1.26,1.26,50.00%,0.27,0.27,0.99,0.18,0.27,0.0,0.18,0.0
Kasparas Jakučionis,154,1.79,1.49,0.3,83.33%,0.0,0.0,1.49,0.0,0.3,0.0,0.0,0.0
Keshad Johnson,83,1.14,1.14,0.0,100.00%,0.57,0.0,0.57,0.0,0.0,0.0,0.0,0.0
Myron Gardner,35,1.27,0.0,1.27,0.00%,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0
Jahmir Young,9,5.56,5.56,0.0,100.00%,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vladislav Goldin,1,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
