Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Myles Turner,800,2.64,6.75,1.17,1.47,0.86,0.12,0.18,0.43,1.04
Bobby Portis,570,2.86,6.94,1.65,1.22,1.04,0.52,0.09,0.35,0.87
Kyle Kuzma,649,4.52,11.61,1.96,2.56,1.13,0.68,0.15,1.21,1.36
Gary Trent Jr.,725,3.04,6.83,2.3,0.74,1.56,0.41,0.34,0.2,0.54
Kevin Porter Jr.,358,11.4,27.61,6.59,4.81,3.98,1.79,0.82,1.79,3.02
Cole Anthony,263,12.92,30.15,8.61,4.31,5.43,2.62,0.56,1.69,2.62
Ryan Rollins,828,8.63,21.12,4.76,3.87,2.8,1.31,0.65,1.43,2.44
Amir Coffey,75,2.0,5.33,0.67,1.33,0.0,0.67,0.0,0.0,1.33
AJ Green,736,3.6,8.86,1.93,1.67,1.27,0.47,0.2,0.53,1.13
Gary Harris,287,3.49,9.08,1.4,2.09,0.7,0.17,0.52,0.52,1.57
Mark Sears,12,9.52,23.81,4.76,4.76,4.76,0.0,0.0,0.0,4.76
Giannis Antetokounmpo,422,9.51,26.33,2.2,7.31,1.39,0.58,0.23,2.55,4.76
Andre Jackson Jr.,55,8.49,22.64,2.83,5.66,0.94,1.89,0.0,0.94,4.72
Jericho Sims,325,2.19,6.1,0.47,1.72,0.16,0.31,0.0,0.31,1.41
Pete Nance,17,3.13,9.38,0.0,3.13,0.0,0.0,0.0,0.0,3.13
Thanasis Antetokounmpo,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
