Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Myles Turner,800,-5.42,1629,20.87,3.01,6.45,46.67%,3.74,9.94,37.65%,37.65%,3.62,4.17,1.84,11.23,0.0,69.39%,82.93%,100.00%,60.67%,0.53,52.62%,55.92%,0.98,0.86,13.33%,0.06,0.62%,18.38
Bobby Portis,570,-3.46,1152,27.86,7.12,13.37,53.25%,3.99,8.25,48.42%,48.42%,1.65,9.9,4.34,11.98,0.0,69.51%,76.00%,100.00%,38.15%,0.51,60.64%,61.03%,1.22,0.61,4.55%,0.0,0.00%,22.04
Kyle Kuzma,649,-3.68,1326,23.3,7.54,13.42,56.18%,1.51,4.3,35.09%,35.09%,3.7,9.65,5.43,3.62,0.9,64.00%,69.57%,80.00%,24.26%,0.57,55.32%,58.30%,1.21,1.13,8.43%,0.08,1.75%,20.96
Gary Trent Jr.,725,-9.48,1479,16.7,1.89,4.73,40.00%,3.85,10.41,37.01%,37.01%,1.35,2.03,1.76,10.55,1.01,53.57%,55.56%,91.23%,68.75%,0.53,50.67%,53.00%,0.14,0.54,11.43%,0.07,0.65%,15.2
Kevin Porter Jr.,358,-4.1,728,31.87,6.32,12.64,50.00%,4.12,8.65,47.62%,47.62%,6.87,3.85,8.79,7.01,5.36,30.43%,30.43%,56.67%,40.65%,0.55,58.71%,63.74%,0.0,0.69,5.43%,0.27,3.17%,27.38
Cole Anthony,263,-10.1,534,18.73,6.55,15.54,42.17%,1.5,5.62,26.67%,26.67%,1.12,1.87,11.24,3.37,1.12,14.29%,14.29%,75.00%,26.55%,0.5,41.59%,43.10%,0.0,0.75,4.82%,0.19,3.33%,25.42
Ryan Rollins,828,-2.81,1681,27.25,7.26,13.5,53.74%,3.51,8.98,39.07%,39.07%,2.2,3.45,11.06,7.14,3.39,23.77%,24.17%,67.80%,39.95%,0.55,55.69%,57.02%,0.24,1.61,11.89%,0.12,1.32%,24.77
Amir Coffey,75,3.74,150,8.0,2.0,5.33,37.50%,1.33,4.0,33.33%,33.33%,0.0,2.67,1.33,4.0,0.0,66.67%,66.67%,100.00%,42.86%,0.49,42.86%,42.86%,0.0,0.0,0.00%,0.0,0.00%,8.19
AJ Green,736,-3.44,1501,16.66,0.47,1.07,43.75%,4.86,10.93,44.51%,44.51%,1.13,0.53,0.4,13.59,1.0,57.14%,66.67%,93.15%,91.11%,0.54,64.72%,65.78%,0.13,0.13,12.50%,0.07,0.61%,12.66
Gary Harris,287,-3.67,573,9.42,1.92,3.14,61.11%,1.57,3.49,45.00%,45.00%,0.87,2.44,1.4,4.71,0.0,63.64%,77.78%,100.00%,52.63%,0.55,64.47%,69.23%,0.7,0.17,5.56%,0.0,0.00%,7.59
Mark Sears,12,88.83,21,42.86,0.0,4.76,0.00%,14.29,28.57,50.00%,50.00%,0.0,0.0,0.0,28.57,14.29,0.00%,0.00%,66.67%,85.71%,0.46,64.29%,64.29%,0.0,0.0,0.00%,0.0,0.00%,36.36
Giannis Antetokounmpo,422,2.63,862,45.59,16.47,26.22,62.83%,0.7,1.97,35.29%,35.29%,10.56,16.24,16.71,1.39,0.7,49.30%,56.00%,66.67%,7.00%,0.62,62.14%,64.01%,3.94,1.51,5.75%,0.0,0.00%,36.69
Andre Jackson Jr.,55,3.75,106,12.26,0.94,2.83,33.33%,1.89,5.66,33.33%,33.33%,4.72,1.89,0.0,2.83,2.83,100.00%,100.00%,50.00%,66.67%,0.48,44.44%,54.17%,0.0,0.0,0.00%,0.0,0.00%,12.5
Jericho Sims,325,-12.6,639,11.27,5.16,6.26,82.50%,0.0,0.0,0.00%,0.00%,0.94,8.76,1.56,0.0,0.0,84.85%,93.33%,0.00%,0.00%,0.66,82.50%,83.72%,0.94,0.31,5.00%,0.0,0.00%,9.18
Pete Nance,17,77.87,32,40.63,6.25,6.25,100.00%,9.38,15.63,60.00%,60.00%,0.0,12.5,0.0,28.13,0.0,100.00%,100.00%,100.00%,71.43%,0.5,92.86%,92.86%,0.0,0.0,0.00%,0.0,0.00%,18.92
Thanasis Antetokounmpo,20,58.32,37,40.54,13.51,21.62,62.50%,0.0,0.0,0.00%,0.00%,13.51,21.62,5.41,0.0,0.0,80.00%,100.00%,0.00%,0.00%,0.62,62.50%,68.18%,5.41,0.0,0.00%,0.0,0.00%,27.27
