Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Myles Turner,800,4.45,6.77,0.24,10.00%,3.44,15.04%,3.08,13.35%,14.19%,2.09,0.06,1.82%,0.92,4.20%,1.1,4.88%,4.55%,12.10%,16.67%,15.87%,14.24%,10.64%,6.35%,3.29%,2.53%,4.71%,5.56%,6,4.29%
Bobby Portis,570,6.45,10.09,1.29,38.46%,4.14,20.43%,4.66,17.48%,18.75%,2.78,0.09,3.70%,1.39,5.69%,1.3,5.70%,5.70%,13.92%,24.58%,21.05%,15.60%,25.42%,7.59%,5.80%,3.13%,4.52%,9.38%,4,3.60%
Kyle Kuzma,649,4.6,7.21,0.74,27.78%,2.38,10.92%,4.09,16.27%,13.79%,1.96,0.0,0.00%,1.36,5.88%,0.6,2.66%,4.28%,8.33%,16.06%,2.08%,15.77%,17.95%,5.61%,6.57%,4.84%,2.12%,4.62%,3,3.09%
Gary Trent Jr.,725,1.21,2.14,0.07,2.78%,0.6,2.71%,1.47,6.59%,4.65%,0.27,0.0,0.00%,0.14,0.60%,0.14,0.60%,0.60%,3.33%,1.23%,6.00%,7.54%,3.66%,0.00%,1.45%,0.00%,0.37%,1.64%,3,2.33%
Kevin Porter Jr.,358,4.12,7.0,0.69,20.83%,2.61,11.45%,3.7,14.14%,12.89%,1.24,0.0,0.00%,0.69,3.31%,0.55,2.30%,2.77%,16.00%,9.41%,9.68%,15.33%,9.76%,2.27%,2.60%,6.67%,1.56%,4.35%,2,2.82%
Cole Anthony,263,4.23,6.69,0.0,0.00%,3.07,16.35%,3.62,13.99%,14.98%,1.69,0.0,0.00%,0.19,0.72%,1.5,7.77%,3.72%,18.92%,10.42%,26.32%,13.93%,14.29%,0.00%,0.00%,2.70%,7.59%,8.33%,3,4.69%
Ryan Rollins,828,3.49,5.82,0.18,7.14%,2.7,12.43%,2.94,12.25%,12.34%,1.13,0.06,1.75%,0.71,3.23%,0.36,1.58%,2.40%,18.05%,9.89%,7.27%,12.70%,10.89%,6.02%,1.99%,1.15%,1.32%,2.63%,6,3.61%
Amir Coffey,75,2.27,3.8,0.0,0.00%,1.27,6.45%,2.53,10.26%,8.57%,0.67,0.0,0.00%,0.0,0.00%,0.67,3.70%,1.49%,0.00%,13.33%,0.00%,11.76%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,0,0.00%
AJ Green,736,2.32,4.28,0.2,8.33%,1.97,8.77%,2.11,8.96%,8.87%,0.33,0.0,0.00%,0.07,0.30%,0.27,1.14%,0.73%,8.13%,7.32%,14.55%,8.79%,9.52%,0.76%,0.00%,0.00%,1.42%,0.00%,3,3.09%
Gary Harris,287,2.43,3.97,0.69,16.00%,1.04,6.12%,2.25,8.97%,7.82%,0.87,0.0,0.00%,0.52,2.26%,0.35,1.72%,2.01%,6.45%,7.02%,0.00%,7.76%,13.79%,3.33%,3.08%,0.00%,0.00%,7.69%,0,0.00%
Mark Sears,12,2.13,3.85,0.0,0.00%,3.85,16.67%,0.0,0.00%,11.11%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Giannis Antetokounmpo,422,7.97,10.8,1.26,61.11%,5.06,21.57%,4.48,20.10%,20.85%,5.1,0.35,7.69%,2.9,14.71%,1.86,8.94%,11.75%,16.44%,21.88%,31.43%,20.95%,17.39%,18.31%,20.00%,4.08%,9.59%,6.06%,11,13.41%
