Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Myles Turner,800,2.54,2.36,0.18,1.21,1.09,0.06,0.12,0.06,1.57,61.90%,1.21,7,13,0.0
Bobby Portis,570,0.26,0.26,0.0,0.0,0.17,0.09,0.0,0.0,0.17,66.67%,1.29,7,8,0.0
Kyle Kuzma,649,0.89,0.89,0.0,0.67,0.22,0.0,0.0,0.0,0.37,41.67%,1.26,1,16,0.0
Gary Trent Jr.,725,0.13,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.13,100.00%,1.6,10,14,0.0
Kevin Porter Jr.,358,0.55,0.55,0.0,0.27,0.27,0.0,0.0,0.0,0.27,50.00%,3.7,8,19,0.0
Cole Anthony,263,0.72,0.72,0.0,0.36,0.36,0.0,0.0,0.0,0.36,50.00%,2.17,5,7,0.0
Ryan Rollins,828,0.41,0.41,0.0,0.24,0.18,0.0,0.0,0.0,0.29,71.43%,2.06,19,16,0.0
Amir Coffey,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
AJ Green,736,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.07,33.33%,1.12,11,6,0.0
Gary Harris,287,0.69,0.52,0.17,0.0,0.52,0.0,0.0,0.17,0.52,75.00%,2.07,8,4,0.0
Mark Sears,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Giannis Antetokounmpo,422,1.72,1.72,0.0,1.03,0.69,0.0,0.0,0.0,0.69,40.00%,1.49,8,5,0.11
Andre Jackson Jr.,55,1.65,1.65,0.0,0.83,0.83,0.0,0.0,0.0,0.0,0.00%,3.31,2,2,0.0
Jericho Sims,325,0.6,0.6,0.0,0.3,0.3,0.0,0.0,0.0,0.6,100.00%,0.9,0,6,0.15
Pete Nance,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Thanasis Antetokounmpo,20,4.44,4.44,0.0,2.22,2.22,0.0,0.0,0.0,4.44,100.00%,6.67,1,2,0.0
