Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Myles Turner,938,1.57,0.78,0.78,50.00%,0.37,0.1,0.42,0.05,0.1,0.0,0.1,0.0
Bobby Portis,674,2.3,1.41,0.89,61.29%,0.67,0.07,0.74,0.15,0.0,0.0,0.15,0.0
Kyle Kuzma,764,3.29,1.61,1.68,49.02%,0.9,0.19,0.71,0.39,0.64,0.0,0.0,0.0
Gary Trent Jr.,798,1.05,0.74,0.31,70.59%,0.31,0.0,0.43,0.06,0.0,0.0,0.06,0.0
Kevin Porter Jr.,542,4.82,3.0,1.82,62.26%,1.36,0.27,1.64,0.82,0.09,0.0,0.27,0.0
Cole Anthony,263,6.93,4.31,2.62,62.16%,1.5,0.37,2.81,1.5,0.0,0.0,0.19,0.0
Ryan Rollins,1001,3.7,2.57,1.13,69.33%,1.09,0.2,1.48,0.49,0.15,0.0,0.05,0.0
Amir Coffey,75,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Green,891,1.43,1.05,0.39,73.08%,0.39,0.0,0.66,0.11,0.0,0.0,0.11,0.0
Gary Harris,350,1.58,0.86,0.72,54.55%,0.29,0.14,0.57,0.14,0.0,0.0,0.0,0.0
Mark Sears,12,4.76,4.76,0.0,100.00%,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0
Giannis Antetokounmpo,557,5.55,2.38,3.17,42.86%,1.23,0.62,1.15,0.26,0.44,0.0,0.09,0.09
Andre Jackson Jr.,55,2.83,0.94,1.89,33.33%,0.0,0.0,0.94,0.0,0.94,0.0,0.0,0.94
Jericho Sims,346,3.82,1.62,2.21,42.31%,0.74,0.15,0.88,0.29,0.15,0.0,0.15,0.0
Pete Nance,17,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thanasis Antetokounmpo,20,2.7,2.7,0.0,100.00%,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
