Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Donte DiVincenzo,471,6.02,13.67,4.39,1.63,2.86,1.22,0.31,0.61,1.02
Naz Reid,438,5.05,12.42,2.75,2.31,1.98,0.66,0.11,0.66,1.65
Jaden McDaniels,466,3.62,8.68,2.17,1.45,1.55,0.52,0.1,0.41,1.03
Bones Hyland,219,7.16,17.45,4.03,3.13,3.36,0.45,0.22,1.12,2.01
Terrence Shannon Jr.,164,1.75,3.79,1.46,0.29,1.17,0.29,0.0,0.29,0.0
Rudy Gobert,427,2.93,7.67,1.13,1.81,0.56,0.34,0.23,0.34,1.47
Julius Randle,408,7.89,20.38,3.3,4.59,2.0,1.18,0.12,1.41,3.18
Mike Conley,272,9.89,23.74,5.94,3.96,4.32,1.26,0.36,0.72,3.24
Jaylen Clark,179,1.64,3.56,1.37,0.27,0.82,0.55,0.0,0.27,0.0
Rob Dillingham,174,9.24,23.25,4.48,4.76,3.08,1.4,0.0,1.12,3.64
Joe Ingles,3,20.0,40.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0
Johnny Juzang,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonard Miller,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joan Beringer,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
