Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Donte DiVincenzo,471,9.37,980,23.37,2.35,4.9,47.92%,5.41,13.16,41.09%,41.09%,2.45,2.45,2.24,15.0,1.22,52.17%,57.14%,92.45%,72.88%,0.55,57.91%,59.95%,0.41,0.31,6.25%,0.2,1.55%,18.57
Naz Reid,438,5.6,910,28.13,6.04,10.88,55.56%,4.51,11.76,38.32%,38.32%,2.53,6.59,5.49,12.53,0.99,54.55%,60.00%,92.68%,51.94%,0.53,56.55%,58.18%,1.1,1.1,10.10%,0.0,0.00%,23.86
Jaden McDaniels,466,6.11,968,24.48,7.33,13.95,52.59%,1.86,5.17,36.00%,36.00%,4.24,8.68,5.99,4.96,0.62,59.15%,62.69%,88.89%,27.03%,0.54,52.97%,57.25%,0.83,1.45,10.37%,0.0,0.00%,21.37
Bones Hyland,219,15.76,447,23.94,4.7,7.16,65.63%,4.03,11.19,36.00%,36.00%,2.46,4.47,4.92,8.72,3.36,47.62%,50.00%,72.22%,60.98%,0.57,58.54%,60.80%,0.45,0.89,12.50%,0.0,0.00%,20.15
Terrence Shannon Jr.,164,-10.45,343,17.49,2.33,8.45,27.59%,2.92,5.54,52.63%,52.63%,4.08,2.33,2.33,7.0,1.75,50.00%,50.00%,80.00%,39.58%,0.57,47.92%,52.63%,0.0,2.04,24.14%,0.0,0.00%,15.96
Rudy Gobert,427,12.87,886,18.85,7.56,10.95,69.07%,0.0,0.0,0.00%,0.00%,3.72,10.84,4.29,0.0,0.0,71.64%,96.00%,0.00%,0.00%,0.65,69.07%,66.27%,3.84,0.68,6.19%,0.0,0.00%,14.55
Julius Randle,408,6.97,849,37.46,9.89,17.31,57.14%,2.71,6.6,41.07%,41.07%,9.54,8.48,11.31,6.01,2.12,42.86%,46.75%,73.91%,27.59%,0.55,58.37%,64.69%,1.65,1.65,9.52%,0.0,0.00%,28.7
Mike Conley,272,14.39,556,14.03,1.62,3.96,40.91%,2.88,7.73,37.21%,37.21%,2.16,2.52,0.72,7.55,1.08,77.78%,77.78%,87.50%,66.15%,0.53,50.77%,53.57%,0.0,0.0,0.00%,0.0,0.00%,13.28
Jaylen Clark,179,11.31,365,11.51,4.38,6.58,66.67%,0.55,5.21,10.53%,10.53%,1.1,3.29,5.48,1.64,0.0,37.50%,50.00%,100.00%,44.19%,0.59,44.19%,42.86%,2.19,0.27,4.17%,0.27,5.26%,12.62
Rob Dillingham,174,-6.07,357,14.85,5.04,13.73,36.73%,0.84,2.8,30.00%,30.00%,2.24,4.48,5.6,1.68,0.84,44.44%,44.44%,66.67%,16.95%,0.54,38.14%,42.06%,0.0,1.12,8.16%,0.0,0.00%,19.7
Joe Ingles,3,40.0,5,0.0,0.0,0.0,0.00%,0.0,20.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,100.00%,0.45,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,14.29
Johnny Juzang,10,33.33,19,36.84,0.0,5.26,0.00%,10.53,21.05,50.00%,50.00%,5.26,0.0,0.0,31.58,0.0,0.00%,0.00%,100.00%,80.00%,0.48,60.00%,58.33%,0.0,0.0,0.00%,0.0,0.00%,27.27
Leonard Miller,12,0.0,21,23.81,9.52,9.52,100.00%,0.0,9.52,0.00%,0.00%,4.76,9.52,9.52,0.0,0.0,50.00%,50.00%,0.00%,50.00%,0.6,50.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,20.83
Joan Beringer,11,9.55,19,10.53,5.26,5.26,100.00%,0.0,0.0,0.00%,0.00%,0.0,10.53,0.0,0.0,0.0,100.00%,100.00%,0.00%,0.00%,0.83,100.00%,100.00%,0.0,0.0,0.00%,0.0,0.00%,4.55
