Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Donte DiVincenzo,864,3.31,5.11,0.06,2.86%,2.11,7.62%,2.94,13.18%,10.10%,1.5,0.06,1.72%,0.56,2.81%,0.89,3.67%,3.28%,4.85%,8.98%,8.97%,13.46%,12.22%,1.75%,3.43%,2.99%,3.15%,5.04%,9,5.42%
Naz Reid,576,5.66,9.39,0.59,28.00%,6.12,22.26%,2.68,13.01%,18.29%,1.99,0.08,2.70%,0.99,4.74%,0.91,3.69%,4.17%,25.98%,19.46%,21.15%,11.73%,18.00%,4.30%,5.08%,4.76%,3.37%,4.44%,7,5.56%
Anthony Edwards,683,3.47,5.9,0.0,0.00%,2.6,9.54%,3.3,14.69%,11.86%,1.05,0.0,0.00%,0.77,3.85%,0.28,1.11%,2.32%,9.09%,8.74%,12.90%,14.74%,14.49%,6.45%,3.01%,1.67%,1.12%,1.06%,6,3.23%
Jaden McDaniels,797,3.15,4.89,0.0,0.00%,2.36,8.72%,2.54,11.23%,9.87%,1.39,0.18,5.88%,0.67,3.30%,0.55,2.44%,2.85%,6.16%,10.81%,7.59%,11.07%,11.76%,5.05%,3.51%,0.00%,1.46%,5.26%,10,8.33%
Jaylen Clark,272,3.28,2.98,0.0,0.00%,1.05,3.80%,1.93,8.53%,5.92%,3.58,0.18,4.00%,1.25,5.56%,2.15,7.84%,6.81%,6.78%,1.41%,3.57%,7.77%,11.54%,8.20%,4.08%,0.00%,9.82%,2.44%,4,13.33%
Mike Conley,380,2.28,3.57,0.38,18.75%,2.17,7.94%,1.02,5.16%,6.78%,1.01,0.0,0.00%,0.25,1.31%,0.76,3.13%,2.32%,10.77%,5.71%,9.09%,4.10%,9.09%,1.96%,0.00%,3.70%,3.47%,2.08%,1,2.22%
Rudy Gobert,802,8.7,11.73,0.6,29.41%,6.25,22.51%,4.87,20.66%,21.66%,5.65,0.06,1.72%,2.55,12.14%,3.04,12.59%,12.38%,14.18%,26.42%,24.39%,20.66%,20.69%,21.57%,6.21%,13.43%,12.97%,11.54%,6,24.00%
Julius Randle,842,4.58,7.26,1.19,56.76%,3.29,12.21%,2.78,12.73%,12.44%,1.92,0.23,7.02%,0.9,4.65%,0.79,3.29%,3.90%,13.50%,11.79%,10.84%,12.46%,13.64%,6.50%,3.73%,3.33%,3.43%,2.86%,4,2.22%
Joe Ingles,3,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Bones Hyland,199,3.07,4.94,0.0,0.00%,2.59,9.17%,2.35,11.11%,10.00%,1.19,0.48,11.76%,0.48,2.20%,0.24,0.84%,1.43%,6.00%,9.62%,16.67%,10.67%,13.33%,0.00%,5.00%,0.00%,0.00%,2.78%,0,0.00%
Rob Dillingham,152,3.76,6.19,0.0,0.00%,2.79,10.71%,3.41,15.71%,12.99%,1.27,0.0,0.00%,0.0,0.00%,1.27,5.88%,2.76%,3.57%,9.52%,28.57%,16.98%,11.76%,0.00%,0.00%,0.00%,6.38%,4.76%,0,0.00%
Johnny Juzang,3,6.67,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,14.29,0.0,0.00%,0.0,0.00%,14.29,25.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.00%
Leonard Miller,4,6.25,10.0,0.0,0.00%,0.0,0.00%,10.0,50.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Joan Beringer,4,18.75,20.0,10.0,100.00%,0.0,0.00%,10.0,50.00%,50.00%,16.67,0.0,0.00%,0.0,0.00%,16.67,25.00%,25.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0,0.00%
