Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Donte DiVincenzo,471,1.73,1.22,0.51,70.59%,0.61,0.0,0.61,0.1,0.0,0.0,0.0,0.0
Naz Reid,438,3.41,1.87,1.54,54.84%,0.77,0.22,1.1,0.77,0.0,0.0,0.11,0.0
Jaden McDaniels,466,2.79,0.83,1.96,29.63%,0.41,0.31,0.41,0.52,0.21,0.0,0.31,0.0
Bones Hyland,219,3.8,1.57,2.24,41.18%,0.45,0.0,1.12,1.34,0.0,0.0,0.0,0.0
Terrence Shannon Jr.,164,2.04,1.17,0.87,57.14%,0.29,0.29,0.87,0.29,0.0,0.0,0.0,0.0
Rudy Gobert,427,2.48,1.13,1.35,45.45%,1.02,0.34,0.11,0.45,0.0,0.0,0.0,0.0
Julius Randle,408,3.77,1.88,1.88,50.00%,1.06,0.35,0.82,0.59,0.35,0.0,0.0,0.0
Mike Conley,272,2.34,1.26,1.08,53.85%,0.18,0.18,1.08,0.54,0.0,0.0,0.18,0.0
Jaylen Clark,179,1.37,0.55,0.82,40.00%,0.0,0.0,0.55,0.0,0.27,0.0,0.0,0.0
Rob Dillingham,174,4.76,3.36,1.4,70.59%,0.56,0.28,2.8,1.12,0.0,0.0,0.0,0.0
Joe Ingles,3,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Juzang,10,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonard Miller,12,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joan Beringer,11,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
