Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Kevon Looney,55,7.34,19.27,2.75,4.59,1.83,0.0,0.92,0.0,4.59
Zion Williamson,230,6.19,15.88,2.68,3.51,1.65,0.41,0.62,0.82,2.68
Jordan Poole,166,5.51,12.46,4.06,1.45,3.19,0.58,0.29,0.58,0.87
Trey Murphy III,273,4.58,10.56,3.17,1.41,2.46,0.7,0.0,0.7,0.7
Jordan Hawkins,79,2.48,5.59,1.86,0.62,1.24,0.62,0.0,0.0,0.62
Bryce McGowens,61,0.76,2.27,0.0,0.76,0.0,0.0,0.0,0.76,0.0
Jeremiah Fears,304,4.85,11.49,3.07,1.78,2.1,0.81,0.16,0.32,1.46
Micah Peavy,110,2.73,5.91,2.27,0.45,2.27,0.0,0.0,0.0,0.45
Herbert Jones,206,2.81,6.32,2.11,0.7,1.64,0.47,0.0,0.0,0.7
Derik Queen,183,6.35,13.76,5.29,1.06,4.23,0.26,0.79,0.26,0.79
Yves Missi,137,3.6,8.99,1.8,1.8,0.72,1.08,0.0,0.0,1.8
Karlo Matković,58,2.42,4.84,2.42,0.0,1.61,0.81,0.0,0.0,0.0
DeAndre Jordan,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Alexander,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
