Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Kevon Looney,58,-29.44,113,10.62,5.31,9.73,54.55%,0.0,2.65,0.00%,0.00%,0.0,5.31,5.31,0.0,0.0,50.00%,75.00%,0.00%,21.43%,0.54,42.86%,42.86%,3.54,0.88,9.09%,0.88,33.33%,11.81
Zion Williamson,253,-8.44,544,36.95,11.76,23.53,50.00%,0.0,0.55,0.00%,0.00%,13.42,11.76,11.76,0.0,0.0,50.00%,59.26%,0.00%,2.29%,0.58,48.85%,58.43%,3.68,2.94,12.50%,0.0,0.00%,30.08
Jordan Poole,164,4.37,356,28.37,4.78,8.99,53.13%,3.65,14.61,25.00%,25.00%,7.87,3.37,6.18,9.27,1.69,35.29%,35.29%,84.62%,61.90%,0.54,43.45%,52.11%,0.0,1.12,12.50%,0.28,1.92%,26.38
Trey Murphy III,484,-7.69,1034,26.98,6.87,11.61,59.17%,3.29,9.48,34.69%,34.69%,3.38,9.67,4.06,8.99,0.87,70.42%,72.46%,91.18%,44.95%,0.56,55.96%,58.80%,0.39,0.29,2.50%,0.1,1.02%,21.91
Jose Alvarado,439,-8.18,899,17.24,2.67,5.34,50.00%,3.67,10.34,35.48%,35.48%,0.89,2.67,2.67,7.68,3.34,50.00%,54.55%,69.70%,65.96%,0.54,52.13%,53.47%,0.44,0.78,14.58%,0.22,2.15%,16.96
Saddiq Bey,484,-8.93,1021,26.44,6.66,11.46,58.12%,2.74,8.23,33.33%,33.33%,4.9,6.86,6.46,7.64,0.59,51.47%,58.33%,92.86%,41.79%,0.56,54.73%,59.21%,1.57,0.59,5.13%,0.1,1.19%,20.46
Bryce McGowens,255,-10.62,535,19.63,4.11,8.22,50.00%,2.43,4.67,52.00%,52.00%,4.11,3.36,4.86,6.73,0.56,40.91%,40.91%,92.31%,36.23%,0.57,60.14%,64.02%,0.0,0.75,9.09%,0.37,8.00%,14.45
Jeremiah Fears,380,-14.26,806,23.33,6.7,14.52,46.15%,1.49,4.34,34.29%,34.29%,5.46,4.96,8.44,2.61,1.86,37.04%,37.04%,58.33%,23.03%,0.55,47.37%,53.11%,0.0,2.11,14.53%,0.0,0.00%,22.6
Micah Peavy,266,-10.35,543,13.08,4.79,9.76,49.06%,0.74,3.87,19.05%,19.05%,1.29,6.63,2.95,2.21,0.0,69.23%,81.82%,100.00%,28.38%,0.58,43.24%,45.51%,1.47,1.29,13.21%,0.0,0.00%,13.79
Jordan Hawkins,219,-15.0,442,15.38,2.04,7.47,27.27%,3.39,9.5,35.71%,35.71%,1.13,3.17,0.9,9.5,0.68,77.78%,77.78%,93.33%,56.00%,0.51,42.00%,43.59%,0.0,0.45,6.06%,0.0,0.00%,17.74
Trey Alexander,30,-3.92,56,14.29,7.14,10.71,66.67%,0.0,1.79,0.00%,0.00%,0.0,7.14,7.14,0.0,0.0,50.00%,50.00%,0.00%,14.29%,0.52,57.14%,57.14%,0.0,0.0,0.00%,0.0,0.00%,12.7
Derik Queen,413,-10.79,869,22.9,8.52,16.23,52.48%,0.23,0.92,25.00%,25.00%,5.18,7.36,9.67,0.69,0.0,43.24%,47.06%,100.00%,5.37%,0.52,51.68%,56.86%,1.38,1.27,7.80%,0.0,0.00%,21.24
Karlo Matković,137,-12.61,285,18.95,7.37,9.47,77.78%,1.4,3.16,44.44%,44.44%,0.0,11.23,3.51,4.21,0.0,76.19%,94.12%,100.00%,25.00%,0.66,75.00%,71.05%,2.81,0.35,3.70%,0.0,0.00%,14.51
Yves Missi,227,-3.74,465,14.41,6.24,11.83,52.73%,0.0,0.0,0.00%,0.00%,1.94,7.31,5.16,0.0,0.0,58.62%,89.47%,0.00%,0.00%,0.61,52.73%,54.92%,4.3,0.86,7.27%,0.0,0.00%,13.21
DeAndre Jordan,9,-35.29,17,11.76,5.88,5.88,100.00%,0.0,0.0,0.00%,0.00%,0.0,11.76,0.0,0.0,0.0,100.00%,100.00%,0.00%,0.00%,0.81,100.00%,100.00%,0.0,0.0,0.00%,0.0,0.00%,10.0
Hunter Dickinson,5,-120.0,10,20.0,10.0,20.0,50.00%,0.0,0.0,0.00%,0.00%,0.0,20.0,0.0,0.0,0.0,100.00%,100.00%,0.00%,0.00%,0.43,50.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,36.36
