Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Kevon Looney,58,8.51,11.48,0.82,50.00%,4.1,23.81%,6.56,18.60%,20.31%,5.31,0.0,0.00%,3.54,14.29%,1.77,7.14%,10.71%,50.00%,16.67%,0.00%,17.14%,25.00%,37.50%,7.69%,0.00%,5.00%,12.50%,2,50.00%
Zion Williamson,253,5.3,5.82,0.73,26.67%,1.82,9.35%,3.27,11.84%,10.81%,4.78,0.0,0.00%,3.13,10.49%,1.65,8.18%,9.56%,7.84%,8.51%,22.22%,10.58%,14.58%,12.86%,10.26%,0.00%,8.14%,8.33%,9,17.65%
Jordan Poole,164,1.55,2.55,0.28,14.29%,1.42,7.14%,0.85,3.00%,4.71%,0.56,0.0,0.00%,0.56,2.15%,0.0,0.00%,1.18%,5.41%,13.04%,0.00%,4.23%,0.00%,2.22%,2.33%,0.00%,0.00%,0.00%,0,0.00%
Trey Murphy III,484,4.08,6.19,0.29,18.75%,1.33,6.67%,4.57,17.39%,12.76%,1.93,0.0,0.00%,1.16,4.44%,0.77,3.83%,4.18%,7.07%,5.95%,7.41%,17.01%,18.29%,5.69%,4.13%,0.00%,4.82%,0.00%,9,8.41%
Jose Alvarado,439,3.04,5.1,0.21,11.76%,1.91,8.96%,2.98,10.57%,9.87%,0.89,0.0,0.00%,0.44,1.72%,0.44,1.96%,1.83%,9.78%,7.95%,9.52%,9.69%,13.04%,0.95%,2.94%,0.00%,1.91%,2.13%,3,4.05%
Saddiq Bey,484,4.91,6.82,0.38,28.57%,1.9,9.90%,4.55,16.78%,13.93%,2.94,0.1,6.25%,1.27,4.69%,1.57,7.69%,5.98%,11.96%,7.32%,10.71%,17.68%,14.77%,5.47%,4.92%,0.00%,8.07%,6.38%,6,6.25%
Bryce McGowens,255,2.73,4.63,0.0,0.00%,1.78,9.90%,2.85,10.96%,10.53%,0.75,0.0,0.00%,0.37,1.24%,0.37,2.44%,1.65%,5.13%,12.77%,13.33%,11.00%,10.87%,1.35%,0.00%,5.88%,1.59%,5.26%,1,3.57%
Jeremiah Fears,380,3.01,4.98,0.12,5.56%,2.18,11.84%,2.67,11.11%,11.43%,0.99,0.0,0.00%,0.62,2.14%,0.37,2.22%,2.17%,7.69%,12.12%,23.81%,13.85%,5.88%,1.94%,2.75%,0.00%,2.91%,0.00%,1,1.45%
Micah Peavy,266,3.49,3.99,0.17,6.25%,1.91,9.24%,1.91,7.19%,8.09%,2.95,0.0,0.00%,2.03,7.43%,0.92,5.10%,6.50%,5.36%,12.96%,11.11%,9.26%,2.22%,9.38%,5.88%,6.25%,4.41%,6.67%,2,5.41%
Jordan Hawkins,219,2.56,4.18,0.22,7.69%,1.1,4.85%,2.86,9.63%,7.56%,0.9,0.0,0.00%,0.45,1.67%,0.45,2.44%,1.98%,3.92%,6.98%,0.00%,9.09%,11.11%,2.13%,1.89%,0.00%,2.99%,0.00%,2,4.08%
