Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Kevon Looney,58,1.64,1.64,0.0,0.82,0.82,0.0,0.0,0.0,0.82,50.00%,0.0,0,0,0.0
Zion Williamson,253,0.55,0.55,0.0,0.55,0.0,0.0,0.0,0.0,0.36,66.67%,1.45,1,7,0.0
Jordan Poole,164,0.57,0.57,0.0,0.28,0.28,0.0,0.0,0.0,0.28,50.00%,1.42,2,3,0.0
Trey Murphy III,484,0.29,0.29,0.0,0.19,0.1,0.0,0.0,0.0,0.29,100.00%,1.71,4,14,0.0
Jose Alvarado,439,0.32,0.32,0.0,0.11,0.21,0.0,0.0,0.0,0.21,66.67%,2.34,9,13,0.0
Saddiq Bey,484,0.19,0.19,0.0,0.09,0.09,0.0,0.0,0.0,0.09,50.00%,1.9,7,13,0.0
Bryce McGowens,255,0.71,0.71,0.0,0.36,0.36,0.0,0.0,0.0,0.71,100.00%,1.6,3,6,0.0
Jeremiah Fears,380,0.24,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.24,100.00%,1.21,5,5,0.0
Micah Peavy,266,0.35,0.35,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.00%,2.08,5,7,0.0
Jordan Hawkins,219,0.44,0.44,0.0,0.44,0.0,0.0,0.0,0.0,0.22,50.00%,0.22,0,1,0.0
Trey Alexander,30,1.49,1.49,0.0,0.0,1.49,0.0,0.0,0.0,1.49,100.00%,1.49,1,0,0.0
Derik Queen,413,1.55,1.44,0.11,0.88,0.55,0.0,0.11,0.0,0.77,50.00%,1.44,9,4,0.11
Karlo Matković,137,2.41,2.41,0.0,1.03,1.37,0.0,0.0,0.0,1.03,42.86%,1.03,1,2,1.03
Yves Missi,227,3.31,3.31,0.0,2.48,0.62,0.21,0.0,0.0,1.66,50.00%,0.62,1,2,0.41
DeAndre Jordan,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Hunter Dickinson,5,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
