Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Kevon Looney,58,0.88,0.0,0.88,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zion Williamson,253,4.04,2.39,1.65,59.09%,1.84,0.37,0.55,0.74,0.0,0.0,0.0,0.0
Jordan Poole,164,4.21,2.53,1.69,60.00%,1.4,0.56,1.12,0.84,0.0,0.0,0.0,0.0
Trey Murphy III,484,2.51,1.06,1.45,42.31%,0.77,0.48,0.29,0.77,0.0,0.0,0.0,0.0
Jose Alvarado,439,3.45,2.22,1.22,64.52%,0.33,0.33,1.89,0.67,0.0,0.0,0.0,0.0
Saddiq Bey,484,1.27,0.88,0.39,69.23%,0.39,0.1,0.49,0.1,0.0,0.0,0.0,0.0
Bryce McGowens,255,0.75,0.19,0.56,25.00%,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.0
Jeremiah Fears,380,3.72,1.86,1.86,50.00%,0.25,0.62,1.61,0.74,0.0,0.0,0.0,0.0
Micah Peavy,266,1.1,0.37,0.74,33.33%,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0
Jordan Hawkins,219,2.26,2.04,0.23,90.00%,0.9,0.0,1.13,0.0,0.0,0.0,0.23,0.0
Trey Alexander,30,1.79,0.0,1.79,0.00%,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0
Derik Queen,413,3.45,1.96,1.5,56.67%,1.04,0.23,0.92,0.46,0.12,0.0,0.0,0.0
Karlo Matković,137,3.16,0.7,2.46,22.22%,0.35,0.0,0.35,0.0,0.0,0.0,0.0,0.0
Yves Missi,227,2.8,0.65,2.15,23.08%,0.65,0.43,0.0,0.22,0.0,0.0,0.0,0.0
DeAndre Jordan,9,5.88,5.88,0.0,100.00%,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Dickinson,5,20.0,10.0,10.0,50.00%,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
