Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Karl-Anthony Towns,501,4.89,11.61,3.07,1.82,2.4,0.29,0.38,0.58,1.25
Guerschon Yabusele,147,2.66,6.64,1.33,1.33,1.0,0.33,0.0,0.0,1.33
OG Anunoby,542,3.61,9.15,1.67,1.94,1.23,0.35,0.09,1.23,0.7
Mikal Bridges,613,6.65,17.18,2.77,3.88,2.22,0.4,0.16,2.14,1.74
Jalen Brunson,522,8.29,20.53,4.33,3.96,3.41,0.64,0.28,2.12,1.84
Jordan Clarkson,361,2.66,6.91,1.06,1.59,0.8,0.13,0.13,0.8,0.8
Miles McBride,303,5.02,12.85,2.19,2.82,1.57,0.47,0.16,0.78,2.04
Tyler Kolek,245,11.07,26.8,6.41,4.66,4.85,1.17,0.39,2.14,2.52
Landry Shamet,150,3.14,7.86,1.57,1.57,0.94,0.63,0.0,0.0,1.57
Kevin McCullar Jr.,70,8.51,23.4,2.13,6.38,2.13,0.0,0.0,4.26,2.13
Mohamed Diawara,98,3.85,10.58,0.96,2.88,0.48,0.48,0.0,0.48,2.4
Mitchell Robinson,219,4.1,10.25,2.05,2.05,0.46,0.91,0.68,0.0,2.05
Ariel Hukporti,142,3.67,9.33,1.67,2.0,0.67,0.67,0.33,0.0,2.0
Pacôme Dadiet,19,10.26,23.08,7.69,2.56,7.69,0.0,0.0,0.0,2.56
Trey Jemison III,37,1.32,2.63,1.32,0.0,0.0,1.32,0.0,0.0,0.0
Tosan Evbuomwan,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
