Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Karl-Anthony Towns,356,15.04,741,29.55,8.1,16.73,48.39%,2.02,6.61,30.61%,30.61%,7.29,8.91,7.29,6.07,0.0,55.00%,67.35%,100.00%,28.32%,0.59,47.69%,54.52%,2.97,1.48,8.87%,0.13,2.04%,25.75
Guerschon Yabusele,107,-4.95,221,14.93,1.36,2.71,50.00%,3.62,9.95,36.36%,36.36%,1.36,2.71,0.0,9.5,1.36,100.00%,100.00%,87.50%,78.57%,0.57,53.57%,55.00%,0.0,0.9,33.33%,0.0,0.00%,13.73
OG Anunoby,341,18.12,710,22.96,4.65,8.87,52.38%,3.52,9.15,38.46%,38.46%,3.1,5.35,3.94,10.56,0.0,57.58%,65.52%,100.00%,50.78%,0.6,55.08%,57.80%,1.13,1.27,14.29%,0.42,4.62%,19.09
Mikal Bridges,414,13.39,852,25.12,6.1,9.51,64.20%,3.52,7.75,45.45%,45.45%,2.35,7.28,4.93,10.56,0.0,59.62%,63.27%,100.00%,44.90%,0.56,65.99%,68.15%,0.7,0.47,4.94%,0.0,0.00%,16.9
Jalen Brunson,317,8.77,661,40.39,10.14,19.97,50.76%,3.78,10.59,35.71%,35.71%,8.77,4.54,15.73,6.35,4.99,22.39%,22.39%,56.00%,34.65%,0.51,51.73%,58.30%,0.0,0.91,4.55%,0.0,0.00%,31.92
Jordan Clarkson,260,14.48,540,27.41,6.3,10.74,58.62%,3.89,10.19,38.18%,38.18%,3.15,4.81,7.78,10.0,1.67,38.24%,39.39%,85.71%,48.67%,0.54,57.96%,60.66%,0.37,0.37,3.45%,0.19,1.82%,22.44
Miles McBride,181,18.78,378,20.11,2.65,6.35,41.67%,4.23,9.52,44.44%,44.44%,2.12,3.17,2.12,12.7,0.0,60.00%,60.00%,100.00%,60.00%,0.55,56.67%,58.46%,0.0,0.53,8.33%,0.0,0.00%,16.37
Tyler Kolek,167,17.09,347,21.04,5.19,9.22,56.25%,2.88,7.49,38.46%,38.46%,2.02,2.88,7.49,6.05,2.59,27.78%,27.78%,70.00%,44.83%,0.55,56.90%,58.87%,0.0,0.58,6.25%,0.0,0.00%,18.81
Landry Shamet,150,4.94,318,20.75,1.89,4.4,42.86%,4.4,10.38,42.42%,42.42%,3.77,1.89,1.89,13.21,0.0,50.00%,60.00%,100.00%,70.21%,0.57,57.45%,63.46%,0.63,0.63,14.29%,0.0,0.00%,14.99
Mohamed Diawara,51,-1.06,106,9.43,2.83,8.49,33.33%,0.94,6.6,14.29%,14.29%,0.94,5.66,0.0,2.83,0.0,100.00%,100.00%,100.00%,43.75%,0.54,28.13%,27.78%,0.0,0.94,11.11%,0.0,0.00%,18.55
Mitchell Robinson,158,13.96,319,15.67,5.96,9.09,65.52%,0.0,0.0,0.00%,0.00%,3.76,7.52,4.39,0.0,0.0,63.16%,100.00%,0.00%,0.00%,0.68,65.52%,60.98%,4.39,0.31,3.45%,0.0,0.00%,12.44
Ariel Hukporti,85,-1.66,179,6.15,1.68,5.59,30.00%,0.0,0.0,0.00%,0.00%,2.79,3.35,0.0,0.0,0.0,100.00%,100.00%,0.00%,0.00%,0.6,30.00%,39.29%,0.0,2.23,40.00%,0.0,0.00%,8.57
Pacôme Dadiet,17,2.56,34,5.88,2.94,2.94,100.00%,0.0,8.82,0.00%,0.00%,0.0,5.88,0.0,0.0,0.0,100.00%,100.00%,0.00%,75.00%,0.59,25.00%,25.00%,0.0,0.0,0.00%,0.0,0.00%,9.76
Trey Jemison III,29,3.97,61,8.2,3.28,3.28,100.00%,0.0,0.0,0.00%,0.00%,1.64,6.56,0.0,0.0,0.0,100.00%,100.00%,0.00%,0.00%,0.55,100.00%,125.00%,0.0,0.0,0.00%,0.0,0.00%,7.46
Tosan Evbuomwan,7,-28.24,15,0.0,0.0,6.67,0.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.3,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,5.56
Kevin McCullar Jr.,2,60.0,3,100.0,0.0,0.0,0.00%,33.33,33.33,100.00%,100.00%,0.0,0.0,0.0,100.0,0.0,0.00%,0.00%,100.00%,100.00%,0.34,150.00%,150.00%,0.0,0.0,0.00%,0.0,0.00%,33.33
