Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Karl-Anthony Towns,501,8.99,13.45,0.78,40.00%,5.75,25.21%,6.92,31.28%,28.20%,4.61,0.1,5.00%,3.17,12.36%,1.34,5.76%,9.22%,24.51%,25.56%,26.19%,31.36%,31.03%,18.33%,9.57%,0.00%,6.21%,4.55%,14,13.21%
Guerschon Yabusele,147,4.94,7.52,0.65,28.57%,2.61,16.33%,4.25,13.27%,14.29%,2.33,0.0,0.00%,0.66,2.99%,1.66,6.41%,4.83%,14.81%,18.75%,16.67%,14.67%,8.70%,4.76%,2.78%,0.00%,6.78%,5.26%,0,0.00%
OG Anunoby,542,4.79,6.85,1.05,36.36%,2.81,11.64%,2.99,13.08%,12.34%,2.73,0.09,3.57%,1.32,5.66%,1.32,5.19%,5.42%,11.21%,9.43%,16.98%,13.16%,12.86%,8.41%,2.44%,8.57%,6.16%,2.56%,6,6.25%
Mikal Bridges,613,3.7,5.96,0.08,3.57%,2.2,9.40%,3.69,15.36%,12.42%,1.43,0.0,0.00%,0.71,2.87%,0.71,2.88%,2.87%,6.84%,8.00%,17.86%,14.35%,18.42%,0.77%,4.23%,4.76%,3.95%,0.00%,2,2.08%
Jalen Brunson,522,2.58,4.44,0.0,0.00%,2.04,9.09%,2.41,9.59%,9.36%,0.74,0.0,0.00%,0.18,0.74%,0.55,2.17%,1.46%,8.91%,6.32%,15.22%,9.31%,10.45%,0.00%,0.00%,4.88%,2.86%,0.00%,3,1.78%
Jordan Clarkson,361,2.0,2.68,0.0,0.00%,0.94,4.19%,1.74,6.81%,5.59%,1.33,0.0,0.00%,0.53,2.41%,0.8,3.19%,2.82%,2.74%,2.94%,11.54%,7.64%,4.26%,4.84%,1.16%,0.00%,4.44%,0.00%,4,5.19%
Miles McBride,303,2.52,3.81,0.32,11.76%,1.9,8.33%,1.59,7.25%,7.80%,1.25,0.0,0.00%,0.78,3.38%,0.47,1.75%,2.51%,12.31%,3.77%,7.69%,8.65%,2.94%,4.69%,1.67%,4.17%,2.34%,0.00%,1,1.96%
Tyler Kolek,245,3.37,5.52,0.0,0.00%,3.24,12.69%,2.29,9.09%,10.90%,1.17,0.0,0.00%,0.39,1.65%,0.78,3.23%,2.45%,9.80%,17.24%,8.00%,7.84%,13.33%,1.96%,1.79%,0.00%,3.45%,2.70%,0,0.00%
Landry Shamet,150,2.52,3.16,0.32,25.00%,0.63,2.56%,2.22,10.14%,6.12%,1.89,0.0,0.00%,0.94,3.70%,0.94,3.80%,3.75%,0.00%,6.67%,0.00%,7.27%,21.43%,2.86%,2.86%,9.09%,5.36%,0.00%,1,4.00%
Kevin McCullar Jr.,70,6.55,7.38,1.34,33.33%,3.36,14.29%,2.68,10.81%,12.50%,5.67,0.71,50.00%,2.84,10.26%,2.13,8.33%,9.33%,0.00%,9.09%,57.14%,11.11%,10.00%,14.29%,5.88%,12.50%,11.54%,0.00%,1,10.00%
Mohamed Diawara,98,4.61,6.64,0.88,25.00%,4.42,21.28%,1.33,6.12%,13.54%,2.4,0.0,0.00%,0.96,4.26%,1.44,4.69%,4.50%,12.50%,37.50%,14.29%,7.50%,0.00%,9.52%,0.00%,0.00%,5.66%,0.00%,1,4.35%
Mitchell Robinson,219,12.82,12.22,0.44,16.67%,6.89,28.44%,4.89,18.18%,23.04%,13.44,0.23,5.56%,9.11,30.53%,4.1,18.56%,25.44%,29.27%,29.09%,23.08%,18.18%,18.18%,36.36%,28.81%,17.65%,17.14%,22.22%,7,58.33%
Ariel Hukporti,142,6.95,8.22,0.66,25.00%,4.61,16.87%,2.96,11.84%,14.47%,5.67,0.0,0.00%,1.67,6.76%,4.0,13.33%,10.37%,15.00%,21.43%,13.33%,15.52%,0.00%,0.00%,13.51%,0.00%,11.43%,20.00%,0,0.00%
Pacôme Dadiet,19,3.61,6.82,0.0,0.00%,2.27,20.00%,4.55,18.18%,18.75%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,33.33%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Trey Jemison III,37,6.33,6.1,1.22,25.00%,1.22,8.33%,3.66,13.64%,11.76%,6.58,0.0,0.00%,2.63,10.53%,3.95,14.29%,12.50%,0.00%,0.00%,20.00%,5.56%,50.00%,12.50%,11.11%,0.00%,12.50%,20.00%,0,0.00%
Tosan Evbuomwan,7,6.25,5.88,0.0,0.00%,0.0,0.00%,5.88,14.29%,10.00%,6.67,0.0,0.00%,0.0,0.00%,6.67,20.00%,9.09%,0.00%,0.00%,0.00%,16.67%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0,0.00%
