Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Karl-Anthony Towns,356,1.1,1.1,0.0,0.55,0.55,0.0,0.0,0.0,0.55,50.00%,1.52,5,6,0.0
Guerschon Yabusele,107,0.88,0.88,0.0,0.44,0.44,0.0,0.0,0.0,0.44,50.00%,0.88,1,1,0.0
OG Anunoby,341,0.99,0.99,0.0,0.85,0.14,0.0,0.0,0.0,0.28,28.57%,2.84,9,11,0.0
Mikal Bridges,414,1.29,1.29,0.0,0.59,0.7,0.0,0.0,0.0,0.82,63.64%,2.34,7,13,0.0
Jalen Brunson,317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.22,4,4,0.0
Jordan Clarkson,260,0.57,0.38,0.19,0.0,0.38,0.0,0.19,0.0,0.19,33.33%,1.13,3,3,0.0
Miles McBride,181,0.27,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.27,100.00%,1.62,2,4,0.0
Tyler Kolek,167,0.57,0.57,0.0,0.28,0.0,0.28,0.0,0.0,0.0,0.00%,0.85,1,2,0.0
Landry Shamet,150,0.32,0.32,0.0,0.32,0.0,0.0,0.0,0.0,0.32,100.00%,1.27,2,2,0.0
Mohamed Diawara,51,0.84,0.84,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.00%,0.84,0,1,0.0
Mitchell Robinson,158,4.64,3.72,0.93,1.55,1.86,0.31,0.0,0.93,2.48,53.33%,1.24,2,2,0.62
Ariel Hukporti,85,3.33,3.33,0.0,2.22,1.11,0.0,0.0,0.0,2.22,66.67%,0.56,1,0,0.0
Pacôme Dadiet,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,2.56,0,1,0.0
Trey Jemison III,29,1.56,1.56,0.0,0.0,1.56,0.0,0.0,0.0,1.56,100.00%,0.0,0,0,0.0
Tosan Evbuomwan,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Kevin McCullar Jr.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
