Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Karl-Anthony Towns,356,3.1,1.35,1.75,43.48%,0.94,0.13,0.4,0.4,0.27,0.0,0.0,0.0
Guerschon Yabusele,107,2.26,0.9,1.36,40.00%,0.0,0.45,0.9,0.9,0.0,0.0,0.0,0.0
OG Anunoby,341,2.54,1.83,0.7,72.22%,0.56,0.28,1.27,0.14,0.14,0.0,0.14,0.0
Mikal Bridges,414,1.29,0.82,0.47,63.64%,0.23,0.12,0.59,0.12,0.23,0.0,0.0,0.0
Jalen Brunson,317,2.87,2.12,0.76,73.68%,1.21,0.15,0.91,0.15,0.0,0.0,0.0,0.0
Jordan Clarkson,260,2.96,1.67,1.3,56.25%,0.74,0.37,0.93,0.19,0.56,0.0,0.0,0.0
Miles McBride,181,2.12,1.06,1.06,50.00%,0.26,0.79,0.79,0.0,0.26,0.0,0.0,0.0
Tyler Kolek,167,4.03,2.31,1.73,57.14%,0.86,0.0,1.44,1.73,0.0,0.0,0.0,0.0
Landry Shamet,150,0.94,0.63,0.31,66.67%,0.31,0.0,0.31,0.31,0.0,0.0,0.0,0.0
Mohamed Diawara,51,4.72,3.77,0.94,80.00%,0.94,0.0,2.83,0.0,0.0,0.0,0.0,0.0
Mitchell Robinson,158,2.51,0.94,1.57,37.50%,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ariel Hukporti,85,2.23,0.56,1.68,25.00%,0.0,0.0,0.56,0.56,0.0,0.0,0.0,0.0
Pacôme Dadiet,17,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Jemison III,29,4.92,1.64,3.28,33.33%,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0
Tosan Evbuomwan,7,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin McCullar Jr.,2,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
