Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Kenrich Williams,66,4.44,10.37,2.96,1.48,2.96,0.0,0.0,0.0,1.48
Luguentz Dort,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Joe,59,3.17,7.14,2.38,0.79,1.59,0.0,0.79,0.0,0.79
Ajay Mitchell,142,7.41,16.84,5.39,2.02,3.7,1.68,0.0,0.34,1.68
Brooks Barnhizer,28,3.45,8.62,1.72,1.72,0.0,1.72,0.0,0.0,1.72
Aaron Wiggins,104,4.15,9.22,3.23,0.92,3.23,0.0,0.0,0.92,0.0
Chet Holmgren,118,2.03,4.47,1.63,0.41,1.22,0.41,0.0,0.0,0.41
Jalen Williams,112,9.87,24.89,4.72,5.15,2.58,2.15,0.0,1.29,3.86
Cason Wallace,77,5.52,15.34,1.23,4.29,0.61,0.61,0.0,1.84,2.45
Chris Youngblood,19,2.56,7.69,0.0,2.56,0.0,0.0,0.0,0.0,2.56
Branden Carlson,31,6.06,15.15,3.03,3.03,1.52,1.52,0.0,0.0,3.03
Jaylin Williams,53,8.47,20.34,5.08,3.39,3.39,0.85,0.85,0.0,3.39
Ousmane Dieng,35,2.63,5.26,2.63,0.0,1.32,1.32,0.0,0.0,0.0
