Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Alex Caruso,226,14.17,486,15.23,2.47,3.91,63.16%,2.67,9.47,28.26%,28.26%,2.26,2.88,2.06,8.02,0.0,58.33%,63.64%,100.00%,70.77%,0.58,48.46%,52.11%,0.41,0.41,10.53%,0.0,0.00%,15.18
Shai Gilgeous-Alexander,527,20.58,1145,47.07,12.84,20.7,62.03%,2.88,6.03,47.83%,47.83%,12.75,4.37,21.31,1.83,6.81,17.01%,17.01%,21.21%,22.55%,0.52,64.22%,71.31%,0.0,0.96,4.64%,0.0,0.00%,33.09
Kenrich Williams,113,14.12,229,20.09,5.68,8.3,68.42%,2.62,6.55,40.00%,40.00%,0.87,6.11,5.24,7.86,0.0,53.85%,58.33%,100.00%,44.12%,0.56,64.71%,65.71%,0.87,1.31,15.79%,0.0,0.00%,15.08
Luguentz Dort,286,14.82,608,15.3,2.63,4.77,55.17%,3.13,8.88,35.19%,35.19%,0.66,3.29,1.97,9.38,0.0,62.50%,71.43%,100.00%,65.06%,0.56,53.61%,54.71%,0.66,0.49,10.34%,0.0,0.00%,14.07
Isaiah Joe,279,14.83,610,25.41,1.97,2.62,75.00%,5.9,11.97,49.32%,49.32%,3.77,3.93,0.0,16.72,0.98,100.00%,100.00%,94.44%,82.02%,0.55,74.16%,77.50%,0.0,0.16,6.25%,0.0,0.00%,16.44
Chet Holmgren,367,14.71,783,29.37,8.68,13.28,65.38%,2.43,6.26,38.78%,38.78%,4.73,12.01,5.36,7.28,0.0,69.12%,83.93%,100.00%,32.03%,0.56,63.07%,64.97%,3.07,1.28,9.62%,0.26,4.08%,22.41
Jaylin Williams,333,21.0,723,15.21,1.52,2.07,73.33%,3.32,10.65,31.17%,31.17%,2.21,2.49,0.55,9.96,0.0,81.82%,81.82%,100.00%,83.70%,0.55,51.09%,53.92%,0.0,0.0,0.00%,0.0,0.00%,15.49
Jalen Williams,262,17.65,560,26.61,8.93,18.93,47.17%,1.07,4.11,26.09%,26.09%,5.54,6.79,11.07,2.14,1.07,38.00%,38.00%,66.67%,17.83%,0.52,45.74%,50.68%,0.0,1.07,5.66%,0.0,0.00%,26.84
Cason Wallace,367,23.83,790,13.42,2.78,5.57,50.00%,2.41,6.84,35.19%,35.19%,0.63,2.28,3.29,7.22,0.0,40.91%,40.91%,100.00%,55.10%,0.58,51.53%,52.48%,0.0,0.76,13.64%,0.0,0.00%,12.62
Ajay Mitchell,353,25.88,769,24.84,6.37,12.87,49.49%,2.34,6.24,37.50%,37.50%,5.07,3.64,9.1,5.85,1.17,28.57%,31.11%,83.33%,32.65%,0.52,51.70%,56.85%,1.04,0.65,5.05%,0.0,0.00%,22.45
Aaron Wiggins,191,23.06,410,18.29,4.39,7.07,62.07%,2.93,7.07,41.38%,41.38%,0.73,4.39,4.39,7.32,1.46,50.00%,56.25%,83.33%,50.00%,0.55,62.07%,62.50%,0.98,0.24,3.45%,0.0,0.00%,15.27
Ousmane Dieng,55,39.35,117,12.82,1.71,3.42,50.00%,2.56,7.69,33.33%,33.33%,1.71,1.71,1.71,7.69,0.0,50.00%,50.00%,100.00%,69.23%,0.54,50.00%,53.57%,0.0,0.0,0.00%,0.0,0.00%,10.69
Branden Carlson,112,20.75,243,21.81,5.76,8.23,70.00%,3.29,8.64,38.10%,38.10%,0.41,9.05,2.47,9.88,0.0,78.57%,100.00%,100.00%,51.22%,0.59,63.41%,64.63%,2.47,1.23,15.00%,0.0,0.00%,17.29
Chris Youngblood,37,16.88,81,14.81,0.0,1.23,0.00%,2.47,7.41,33.33%,33.33%,7.41,0.0,0.0,7.41,0.0,0.00%,0.00%,100.00%,85.71%,0.52,42.86%,60.00%,0.0,0.0,0.00%,0.0,0.00%,11.11
Brooks Barnhizer,70,6.44,151,2.65,1.32,5.96,22.22%,0.0,1.32,0.00%,0.00%,0.0,1.32,1.32,0.0,0.0,50.00%,100.00%,0.00%,18.18%,0.55,18.18%,18.18%,1.32,1.99,33.33%,0.66,50.00%,6.59
