Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Alex Caruso,226,3.83,5.83,0.42,14.29%,2.5,12.77%,2.92,11.57%,12.09%,1.85,0.0,0.00%,1.23,6.00%,0.62,2.52%,4.11%,9.38%,15.56%,11.76%,12.36%,9.38%,7.50%,5.13%,4.76%,1.30%,4.76%,2,5.26%
Shai Gilgeous-Alexander,527,3.48,6.41,0.45,12.82%,3.03,12.93%,2.94,12.09%,12.50%,0.61,0.0,0.00%,0.35,1.88%,0.26,1.12%,1.45%,5.56%,17.97%,13.33%,11.70%,12.94%,1.41%,1.87%,2.86%,1.55%,0.00%,2,1.79%
Kenrich Williams,113,4.98,8.15,0.43,12.50%,1.72,8.89%,6.01,24.14%,17.48%,1.75,0.0,0.00%,0.87,3.92%,0.87,5.13%,4.44%,5.88%,13.64%,0.00%,17.14%,34.78%,5.88%,4.00%,0.00%,3.70%,8.33%,0,0.00%
Luguentz Dort,286,2.7,3.92,0.0,0.00%,1.63,7.30%,2.29,9.86%,8.60%,1.48,0.0,0.00%,0.49,2.46%,0.99,4.17%,3.38%,7.84%,7.14%,6.67%,9.47%,10.64%,2.56%,3.03%,0.00%,3.70%,5.56%,0,0.00%
Isaiah Joe,279,2.86,4.85,0.52,18.75%,2.6,11.28%,1.73,6.94%,9.03%,0.98,0.0,0.00%,0.49,2.61%,0.49,2.05%,2.30%,16.33%,8.33%,8.33%,6.93%,6.98%,0.00%,3.70%,4.76%,0.94%,5.00%,1,2.56%
Chet Holmgren,367,7.09,11.59,0.78,30.00%,4.82,21.14%,5.99,25.70%,23.45%,2.68,0.0,0.00%,2.04,9.36%,0.64,2.98%,6.19%,18.84%,17.95%,35.71%,22.58%,32.73%,16.95%,4.88%,6.67%,2.48%,4.26%,2,3.70%
Jaylin Williams,333,6.58,12.16,1.16,34.78%,4.78,18.33%,6.22,24.16%,21.23%,1.24,0.0,0.00%,0.69,3.79%,0.55,2.21%,2.88%,16.36%,19.32%,18.92%,21.43%,30.77%,2.08%,6.35%,0.00%,2.96%,0.00%,0,0.00%
Jalen Williams,262,3.7,6.39,0.73,21.05%,2.37,10.24%,3.28,13.53%,11.92%,1.07,0.0,0.00%,0.54,2.10%,0.54,2.86%,2.42%,12.96%,7.84%,9.09%,13.98%,12.50%,2.33%,2.56%,0.00%,1.27%,7.69%,0,0.00%
Cason Wallace,367,3.06,4.87,0.13,3.13%,2.3,9.00%,2.43,10.67%,9.79%,1.27,0.13,7.14%,0.89,4.46%,0.25,1.09%,2.64%,5.06%,10.11%,15.63%,10.40%,11.32%,5.66%,4.88%,0.00%,1.56%,0.00%,1,1.96%
Ajay Mitchell,353,3.37,5.5,0.67,15.15%,2.28,9.83%,2.55,10.22%,10.03%,1.3,0.0,0.00%,0.65,3.11%,0.65,3.01%,3.06%,12.90%,9.20%,4.17%,8.70%,14.58%,3.17%,4.17%,0.00%,3.88%,0.00%,2,2.70%
Aaron Wiggins,191,3.1,5.05,0.25,7.14%,1.26,5.43%,3.54,13.21%,9.60%,1.22,0.0,0.00%,0.49,2.56%,0.73,3.09%,2.86%,3.13%,6.82%,6.25%,16.22%,6.25%,4.76%,0.00%,9.09%,4.17%,0.00%,0,0.00%
Ousmane Dieng,55,3.59,5.66,0.0,0.00%,1.89,9.52%,3.77,12.12%,11.11%,1.71,0.0,0.00%,0.0,0.00%,1.71,7.14%,3.77%,11.11%,14.29%,0.00%,11.11%,16.67%,0.00%,0.00%,0.00%,9.52%,0.00%,0,0.00%
Branden Carlson,112,4.41,6.44,0.86,20.00%,3.43,14.04%,2.15,8.33%,11.11%,2.47,0.0,0.00%,1.23,5.56%,1.23,5.45%,5.50%,15.00%,14.29%,11.11%,10.42%,0.00%,10.53%,3.57%,0.00%,4.17%,14.29%,0,0.00%
Chris Youngblood,37,1.91,2.63,0.0,0.00%,2.63,10.53%,0.0,0.00%,5.71%,1.23,0.0,0.00%,1.23,7.69%,0.0,0.00%,2.78%,20.00%,10.00%,0.00%,0.00%,0.00%,0.00%,12.50%,0.00%,0.00%,0.00%,1,20.00%
Brooks Barnhizer,70,6.06,10.27,2.05,42.86%,4.79,20.59%,3.42,15.15%,17.91%,1.99,0.0,0.00%,0.66,3.33%,1.32,5.56%,4.55%,0.00%,35.29%,16.67%,23.81%,0.00%,10.00%,0.00%,0.00%,3.70%,11.11%,1,20.00%
