Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Kenrich Williams,66,0.76,0.0,0.76,0.0,0.0,0.0,0.0,0.76,0.0,0.00%,2.27,1,2,0.0
Luguentz Dort,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Isaiah Joe,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,2.46,1,2,0.0
Ajay Mitchell,142,0.35,0.35,0.0,0.35,0.0,0.0,0.0,0.0,0.35,100.00%,2.77,2,6,0.0
Brooks Barnhizer,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Aaron Wiggins,104,0.97,0.97,0.0,0.0,0.97,0.0,0.0,0.0,0.48,50.00%,2.42,2,3,0.0
Chet Holmgren,118,5.91,5.91,0.0,4.22,1.69,0.0,0.0,0.0,3.8,64.29%,0.84,0,2,0.0
Jalen Williams,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,2.73,4,2,0.0
Cason Wallace,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,5.16,4,4,0.0
Chris Youngblood,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Branden Carlson,31,1.72,1.72,0.0,0.0,1.72,0.0,0.0,0.0,1.72,100.00%,0.0,0,0,0.0
Jaylin Williams,53,1.89,1.89,0.0,0.94,0.94,0.0,0.0,0.0,0.94,50.00%,0.94,0,1,0.0
Ousmane Dieng,35,1.54,1.54,0.0,1.54,0.0,0.0,0.0,0.0,1.54,100.00%,0.0,0,0,0.0
