Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Kenrich Williams,66,2.22,2.22,0.0,100.00%,0.74,0.0,1.48,0.0,0.0,0.0,0.0,0.0
Luguentz Dort,20,2.44,2.44,0.0,100.00%,0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0
Isaiah Joe,59,1.59,0.79,0.79,50.00%,0.0,0.79,0.79,0.0,0.0,0.0,0.0,0.0
Ajay Mitchell,142,3.37,2.02,1.35,60.00%,1.35,0.0,0.67,1.01,0.0,0.0,0.34,0.0
Brooks Barnhizer,28,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Wiggins,104,1.84,1.84,0.0,100.00%,0.92,0.0,0.92,0.0,0.0,0.0,0.0,0.0
Chet Holmgren,118,2.85,2.03,0.81,71.43%,1.22,0.0,0.81,0.0,0.0,0.0,0.0,0.0
Jalen Williams,112,3.86,2.15,1.72,55.56%,0.43,0.86,1.72,0.43,0.0,0.0,0.0,0.0
Cason Wallace,77,0.61,0.61,0.0,100.00%,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0
Chris Youngblood,19,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Branden Carlson,31,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaylin Williams,53,4.24,2.54,1.69,60.00%,0.0,0.0,2.54,0.85,0.0,0.0,0.0,0.0
Ousmane Dieng,35,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
