Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Tyus Jones,411,7.89,18.49,5.18,2.71,2.83,1.88,0.47,1.18,1.53
Jonathan Isaac,188,1.27,3.31,0.51,0.76,0.51,0.0,0.0,0.25,0.51
Wendell Carter Jr.,462,4.12,9.4,2.96,1.16,0.84,1.9,0.21,0.42,0.74
Desmond Bane,551,6.26,15.42,3.35,2.91,1.76,1.15,0.44,1.23,1.67
Paolo Banchero,516,7.89,18.82,4.85,3.04,2.95,1.43,0.48,1.24,1.81
Anthony Black,574,6.82,15.69,4.77,2.05,3.84,0.85,0.09,0.77,1.28
Jett Howard,163,3.95,9.42,2.43,1.52,1.22,1.22,0.0,0.61,0.91
Jase Richardson,235,5.85,13.36,4.18,1.67,1.67,2.09,0.42,0.63,1.04
Tristan da Silva,295,1.32,2.81,1.16,0.17,0.99,0.17,0.0,0.17,0.0
Goga Bitadze,236,4.1,9.63,2.66,1.43,1.84,0.41,0.41,0.0,1.43
Jamal Cain,89,1.08,2.16,1.08,0.0,0.54,0.54,0.0,0.0,0.0
Noah Penda,187,4.46,10.24,3.15,1.31,1.84,1.31,0.0,0.52,0.79
Orlando Robinson,5,11.11,22.22,11.11,0.0,0.0,11.11,0.0,0.0,0.0
