Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Tyus Jones,411,-3.6,849,9.66,1.3,3.06,42.31%,2.12,6.12,34.62%,34.62%,0.71,1.18,1.41,5.3,1.06,45.45%,50.00%,83.33%,66.67%,0.53,48.72%,50.62%,0.24,0.59,19.23%,0.12,1.92%,9.0
Jonathan Isaac,188,1.86,393,15.27,4.58,7.38,62.07%,0.51,4.07,12.50%,12.50%,4.58,5.6,3.56,1.53,0.0,61.11%,91.67%,100.00%,35.56%,0.56,46.67%,50.85%,3.05,0.25,3.45%,0.0,0.00%,13.85
Wendell Carter Jr.,462,-2.31,947,22.28,6.02,9.4,64.04%,2.01,6.12,32.76%,32.76%,4.22,9.08,2.96,6.02,0.0,75.44%,91.49%,100.00%,39.46%,0.56,58.16%,61.34%,2.11,0.74,7.87%,0.0,0.00%,17.19
Desmond Bane,551,-1.8,1135,30.13,8.37,16.56,50.53%,2.47,7.67,32.18%,32.18%,5.99,10.04,6.7,4.49,2.91,60.00%,63.33%,60.71%,31.64%,0.51,49.82%,54.93%,0.88,1.94,11.70%,0.09,1.15%,26.56
Paolo Banchero,516,-5.71,1052,29.75,9.03,19.39,46.57%,1.14,4.56,25.00%,25.00%,8.27,8.37,9.7,2.85,0.57,46.32%,48.35%,83.33%,19.05%,0.52,44.84%,50.98%,0.76,1.62,8.33%,0.0,0.00%,28.87
Anthony Black,574,-3.66,1173,30.35,7.59,14.49,52.35%,3.07,8.61,35.64%,35.64%,5.97,8.7,6.48,7.67,1.53,57.30%,59.30%,83.33%,37.27%,0.55,52.77%,56.89%,0.51,1.71,11.76%,0.0,0.00%,26.63
Jett Howard,163,0.31,329,21.28,3.65,7.9,46.15%,3.95,11.85,33.33%,33.33%,2.13,4.26,3.04,10.94,0.91,58.33%,63.64%,92.31%,60.00%,0.51,48.46%,51.47%,0.61,1.52,19.23%,0.3,2.56%,18.09
Jase Richardson,235,8.4,479,22.96,5.43,9.6,56.52%,3.13,8.14,38.46%,38.46%,2.71,6.68,4.18,8.77,0.63,61.54%,69.57%,93.33%,45.88%,0.54,57.06%,59.78%,1.25,0.84,8.70%,0.0,0.00%,18.26
Tristan da Silva,295,-4.38,605,20.83,4.3,8.43,50.98%,3.64,7.77,46.81%,46.81%,1.32,6.28,2.31,10.91,0.0,73.08%,79.17%,100.00%,47.96%,0.54,60.20%,61.76%,0.66,0.0,0.00%,0.0,0.00%,16.76
Goga Bitadze,236,-6.43,488,14.75,5.74,9.02,63.64%,0.2,0.82,25.00%,25.00%,2.66,7.38,4.1,0.61,0.0,64.29%,81.82%,100.00%,8.33%,0.56,61.46%,64.29%,2.46,0.61,6.82%,0.0,0.00%,10.48
Jamal Cain,89,0.63,185,21.62,3.78,8.65,43.75%,2.16,7.57,28.57%,28.57%,7.57,5.41,2.16,6.49,0.0,71.43%,71.43%,100.00%,46.67%,0.56,43.33%,52.63%,0.0,1.08,12.50%,0.0,0.00%,19.07
Noah Penda,187,-1.71,381,14.7,3.67,7.09,51.85%,1.84,6.04,30.43%,30.43%,1.84,3.15,4.2,4.72,0.79,42.86%,66.67%,85.71%,46.00%,0.51,49.00%,49.12%,2.62,0.79,11.11%,0.0,0.00%,14.66
Orlando Robinson,5,19.19,9,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0
