Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Tyus Jones,203,1.78,3.07,0.0,0.00%,1.65,8.54%,1.42,6.19%,7.26%,0.48,0.0,0.00%,0.24,0.94%,0.24,1.05%,1.00%,6.25%,2.13%,26.32%,6.85%,4.17%,0.00%,0.00%,3.45%,1.49%,0.00%,0,0.00%
Jonathan Isaac,118,7.23,9.13,1.19,60.00%,1.98,10.64%,5.95,23.08%,17.86%,5.28,0.41,12.50%,1.63,6.35%,3.25,13.11%,9.68%,0.00%,8.00%,33.33%,24.49%,18.75%,15.00%,3.45%,0.00%,13.64%,11.76%,0,0.00%
Wendell Carter Jr.,275,6.44,8.85,0.53,17.65%,3.89,16.92%,4.42,19.69%,18.29%,4.05,0.18,4.00%,1.94,7.69%,1.94,9.09%,8.33%,30.43%,15.38%,10.34%,20.21%,18.18%,5.00%,10.45%,5.56%,9.41%,8.33%,0,0.00%
Desmond Bane,241,2.93,4.02,0.6,16.67%,1.81,7.76%,1.61,7.14%,7.46%,1.82,0.2,5.26%,0.81,3.13%,0.81,3.81%,3.43%,4.55%,11.59%,0.00%,7.95%,4.17%,2.56%,5.08%,0.00%,1.39%,9.09%,1,1.82%
Paolo Banchero,191,6.04,11.0,1.53,42.86%,5.37,23.33%,4.09,18.39%,20.90%,1.03,0.0,0.00%,0.52,2.13%,0.52,2.47%,2.29%,16.67%,26.92%,20.00%,20.00%,13.64%,0.00%,3.92%,0.00%,3.57%,0.00%,1,2.17%
Anthony Black,251,3.48,5.41,0.0,0.00%,2.12,9.82%,3.28,14.17%,12.07%,1.55,0.19,4.35%,0.58,2.33%,0.78,3.77%,2.98%,19.05%,4.55%,16.00%,13.33%,16.67%,2.56%,1.61%,3.57%,5.48%,0.00%,4,7.55%
Jett Howard,101,3.6,5.61,0.0,0.00%,2.34,12.20%,3.27,17.95%,15.00%,1.48,0.0,0.00%,0.49,2.00%,0.99,3.64%,2.86%,0.00%,13.04%,22.22%,12.90%,37.50%,0.00%,3.85%,0.00%,4.76%,0.00%,1,5.26%
Tristan da Silva,53,5.07,8.18,1.82,50.00%,4.55,16.67%,1.82,10.53%,14.29%,1.87,0.0,0.00%,1.87,8.00%,0.0,0.00%,3.77%,14.29%,13.33%,25.00%,7.14%,20.00%,25.00%,0.00%,0.00%,0.00%,0.00%,1,7.69%
Jamal Cain,29,1.6,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,3.23,0.0,0.00%,1.61,6.67%,1.61,8.33%,7.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,11.11%,0.00%,0,0.00%
Noah Penda,86,7.89,7.03,1.08,50.00%,3.24,15.79%,2.7,15.15%,15.49%,8.82,1.76,30.00%,2.35,8.33%,4.71,21.62%,14.12%,13.33%,22.22%,0.00%,13.79%,25.00%,16.67%,7.14%,0.00%,20.69%,25.00%,4,28.57%
Jase Richardson,73,3.28,3.16,0.63,33.33%,0.63,3.13%,1.9,11.54%,6.90%,3.4,0.0,0.00%,1.36,6.06%,2.04,7.69%,6.94%,0.00%,5.88%,0.00%,13.64%,0.00%,0.00%,5.00%,33.33%,6.67%,11.11%,1,10.00%
Orlando Robinson,2,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
