Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Tyus Jones,411,0.23,0.23,0.0,0.12,0.12,0.0,0.0,0.0,0.12,50.00%,2.35,6,14,0.0
Jonathan Isaac,188,1.75,1.75,0.0,0.5,1.25,0.0,0.0,0.0,1.25,71.43%,2.26,7,2,0.0
Wendell Carter Jr.,462,0.63,0.63,0.0,0.1,0.52,0.0,0.0,0.0,0.52,83.33%,1.15,5,6,0.0
Desmond Bane,551,1.22,1.22,0.0,0.35,0.79,0.09,0.0,0.0,0.79,64.29%,1.05,6,6,0.09
Paolo Banchero,516,0.84,0.65,0.19,0.19,0.37,0.09,0.09,0.09,0.75,88.89%,1.03,4,7,0.0
Anthony Black,574,1.26,1.01,0.25,0.42,0.34,0.25,0.0,0.25,0.67,53.33%,2.01,8,16,0.0
Jett Howard,163,0.58,0.29,0.29,0.0,0.29,0.0,0.0,0.29,0.0,0.00%,0.87,2,1,0.0
Jase Richardson,235,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.00%,1.22,3,3,0.0
Tristan da Silva,295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.47,2,7,0.16
Goga Bitadze,236,3.66,3.66,0.0,2.44,1.22,0.0,0.0,0.0,2.64,72.22%,2.03,5,5,0.61
Jamal Cain,89,0.54,0.54,0.0,0.0,0.54,0.0,0.0,0.0,0.54,100.00%,2.15,4,0,0.0
Noah Penda,187,1.0,0.75,0.25,0.75,0.0,0.0,0.0,0.25,1.0,100.00%,2.0,2,6,0.5
Orlando Robinson,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
