Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Tyus Jones,203,0.95,0.48,0.48,50.00%,0.0,0.0,0.48,0.48,0.0,0.0,0.0,0.0
Jonathan Isaac,118,2.03,0.0,2.03,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0
Wendell Carter Jr.,275,1.58,0.35,1.23,22.22%,0.35,0.0,0.0,0.18,0.0,0.0,0.35,0.0
Desmond Bane,241,2.83,2.02,0.81,71.43%,0.81,0.2,1.21,0.0,0.2,0.0,0.2,0.0
Paolo Banchero,191,4.39,2.58,1.81,58.82%,0.78,0.52,1.81,0.26,0.0,0.0,0.0,0.0
Anthony Black,251,3.29,2.71,0.58,82.35%,0.97,0.0,1.74,0.19,0.19,0.0,0.19,0.0
Jett Howard,101,1.48,0.99,0.49,66.67%,0.49,0.0,0.49,0.0,0.49,0.0,0.0,0.0
Tristan da Silva,53,1.87,0.93,0.93,50.00%,0.0,0.0,0.93,0.93,0.0,0.0,0.0,0.0
Jamal Cain,29,1.61,1.61,0.0,100.00%,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0
Noah Penda,86,1.76,0.59,1.18,33.33%,0.0,0.59,0.59,0.59,0.0,0.0,0.0,0.0
Jase Richardson,73,1.36,0.68,0.68,50.00%,0.68,0.0,0.0,0.0,0.0,0.0,0.68,0.0
Orlando Robinson,2,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
