Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Kelly Oubre Jr.,284,1.71,4.1,1.02,0.68,0.68,0.34,0.0,0.0,0.68
Quentin Grimes,817,5.98,14.93,3.02,2.96,2.25,0.71,0.06,0.77,2.19
Tyrese Maxey,1009,8.5,20.86,4.64,3.86,2.8,0.82,1.01,0.87,2.99
Jabari Walker,335,1.89,4.65,1.02,0.87,1.02,0.0,0.0,0.0,0.87
Adem Bona,372,1.04,2.6,0.52,0.52,0.26,0.26,0.0,0.13,0.39
Justin Edwards,331,3.66,9.66,1.32,2.34,1.17,0.15,0.0,0.73,1.61
VJ Edgecombe,884,5.59,13.56,3.21,2.38,1.99,0.89,0.33,0.5,1.88
Andre Drummond,450,2.33,5.44,1.55,0.78,1.22,0.22,0.11,0.11,0.67
Joel Embiid,448,5.55,13.66,2.99,2.56,2.77,0.0,0.21,0.75,1.81
Dominick Barlow,535,3.06,7.83,1.35,1.71,0.81,0.45,0.09,0.45,1.26
Jared McCain,391,4.73,11.39,2.79,1.94,2.18,0.48,0.12,0.61,1.33
Eric Gordon,47,2.13,4.26,2.13,0.0,2.13,0.0,0.0,0.0,0.0
Hunter Sallis,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul George,506,5.36,13.12,2.97,2.39,2.3,0.57,0.1,0.86,1.53
Johni Broome,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Lowry,39,7.06,20.0,1.18,5.88,1.18,0.0,0.0,1.18,4.71
