Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Kelly Oubre Jr.,284,-1.81,586,24.57,5.97,8.87,67.31%,2.9,7.51,38.64%,38.64%,3.92,6.48,5.46,8.19,0.51,54.29%,61.29%,94.12%,45.83%,0.55,63.02%,66.67%,1.37,0.85,9.62%,0.0,0.00%,17.43
Quentin Grimes,817,3.12,1688,20.62,3.08,6.1,50.49%,3.55,9.6,37.04%,37.04%,3.79,3.32,2.84,8.89,1.78,53.85%,57.14%,83.33%,61.13%,0.56,53.58%,58.59%,0.36,0.71,11.65%,0.06,0.62%,17.51
Tyrese Maxey,1009,2.57,2071,37.04,8.35,16.8,49.71%,4.44,11.3,39.32%,39.32%,7.0,5.7,11.01,7.82,5.5,34.10%,34.71%,58.70%,40.21%,0.54,53.44%,58.21%,0.29,1.11,6.61%,0.19,1.71%,29.7
Jabari Walker,335,5.3,688,16.28,3.78,6.83,55.32%,1.74,5.67,30.77%,30.77%,3.49,2.91,4.65,5.23,0.0,38.46%,71.43%,100.00%,45.35%,0.59,51.16%,55.45%,3.49,1.31,19.15%,0.0,0.00%,13.87
Adem Bona,372,10.11,769,12.09,4.03,6.63,60.78%,0.26,0.65,40.00%,40.00%,3.25,4.42,3.64,0.78,0.0,54.84%,100.00%,100.00%,8.93%,0.65,60.71%,62.00%,3.64,0.65,9.80%,0.0,0.00%,9.88
Justin Edwards,331,-9.39,683,15.52,1.17,3.66,32.00%,4.1,10.98,37.33%,37.33%,0.88,1.46,0.88,11.42,0.88,62.50%,71.43%,92.86%,75.00%,0.53,50.00%,51.46%,0.29,0.73,20.00%,0.0,0.00%,14.82
VJ Edgecombe,884,5.8,1807,23.41,5.53,11.4,48.54%,3.21,8.41,38.16%,38.16%,2.71,5.87,5.2,8.63,1.0,53.00%,55.79%,89.66%,42.46%,0.56,52.23%,55.22%,0.55,1.0,8.74%,0.11,1.32%,20.08
Andre Drummond,450,-3.67,901,15.65,5.11,9.77,52.27%,1.0,3.0,33.33%,33.33%,2.44,4.22,5.99,3.0,0.0,41.30%,70.37%,100.00%,23.48%,0.6,51.74%,53.82%,4.22,0.55,5.68%,0.0,0.00%,13.56
Joel Embiid,448,3.46,937,38.21,11.31,21.13,53.54%,1.49,6.51,22.95%,22.95%,11.1,14.09,8.54,4.16,0.32,62.26%,71.74%,92.86%,23.55%,0.51,49.03%,57.19%,2.99,1.6,7.58%,0.0,0.00%,33.62
Dominick Barlow,535,2.28,1111,16.2,5.67,8.91,63.64%,0.63,2.88,21.88%,21.88%,2.97,7.74,3.6,1.89,0.0,68.25%,84.31%,100.00%,24.43%,0.61,56.11%,61.22%,2.16,0.72,8.08%,0.0,0.00%,13.15
Jared McCain,391,10.12,825,17.58,3.52,8.97,39.19%,2.91,9.09,32.00%,32.00%,1.82,2.18,4.85,7.27,1.45,31.03%,31.03%,83.33%,50.34%,0.54,43.62%,46.18%,0.0,1.09,12.16%,0.0,0.00%,18.52
Eric Gordon,47,-3.21,94,23.4,3.19,4.26,75.00%,5.32,10.64,50.00%,50.00%,1.06,4.26,2.13,15.96,0.0,66.67%,66.67%,100.00%,71.43%,0.55,75.00%,73.33%,0.0,0.0,0.00%,0.0,0.00%,16.51
Hunter Sallis,5,44.44,9,11.11,0.0,0.0,0.00%,0.0,0.0,0.00%,0.00%,11.11,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.0,0.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,22.22
Paul George,506,5.02,1044,25.67,4.31,10.34,41.67%,4.12,10.54,39.09%,39.09%,4.69,2.87,5.75,9.2,3.16,33.33%,33.33%,74.42%,50.46%,0.52,50.23%,55.19%,0.0,0.48,4.63%,0.0,0.00%,22.69
Johni Broome,11,-8.89,22,9.09,0.0,0.0,0.00%,0.0,0.0,0.00%,0.00%,9.09,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.0,0.00%,100.00%,0.0,0.0,0.00%,0.0,0.00%,4.17
Kyle Lowry,39,14.03,85,3.53,0.0,0.0,0.00%,1.18,4.71,25.00%,25.00%,0.0,0.0,0.0,3.53,0.0,0.00%,0.00%,100.00%,100.00%,0.56,37.50%,37.50%,0.0,0.0,0.00%,0.0,0.00%,6.32
