Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Quentin Grimes,660,2.65,4.21,0.07,3.70%,1.26,5.57%,2.88,12.30%,9.00%,1.1,0.0,0.00%,0.44,1.80%,0.66,2.69%,2.25%,6.30%,3.79%,8.70%,11.79%,13.64%,1.42%,2.26%,1.67%,3.13%,1.28%,5,4.42%
Tyrese Maxey,737,2.45,4.67,0.0,0.00%,2.11,9.30%,2.57,11.27%,10.29%,0.26,0.0,0.00%,0.26,0.98%,0.0,0.00%,0.51%,7.80%,12.08%,5.56%,10.20%,13.86%,1.09%,1.24%,0.00%,0.00%,0.00%,4,2.01%
Trendon Watford,152,4.85,8.54,0.61,33.33%,3.05,13.16%,4.88,19.75%,16.56%,1.2,0.0,0.00%,0.6,2.47%,0.6,3.17%,2.78%,15.63%,14.71%,0.00%,17.46%,27.78%,2.94%,2.78%,0.00%,3.70%,0.00%,0,0.00%
Jabari Walker,247,6.0,6.93,0.99,50.00%,3.37,16.35%,2.57,11.02%,13.51%,5.09,0.0,0.00%,2.94,11.03%,2.15,10.00%,10.57%,13.95%,11.36%,35.29%,11.39%,10.26%,10.53%,13.79%,4.76%,9.30%,12.50%,2,6.67%
Justin Edwards,347,2.76,3.77,0.42,15.79%,1.26,5.26%,2.09,10.20%,7.55%,1.78,0.41,11.54%,0.68,2.99%,0.68,2.82%,2.91%,10.53%,1.35%,0.00%,8.41%,15.00%,3.85%,2.94%,0.00%,2.07%,6.25%,2,3.08%
VJ Edgecombe,602,4.0,4.99,0.08,4.00%,2.25,9.40%,2.66,12.00%,10.65%,3.01,0.0,0.00%,1.87,6.76%,1.14,4.73%,5.82%,11.20%,7.14%,10.64%,12.69%,10.26%,7.28%,6.30%,6.45%,3.57%,8.33%,9,6.87%
Joel Embiid,273,5.7,7.99,0.52,20.00%,4.69,18.00%,2.78,11.59%,14.93%,3.44,0.0,0.00%,2.92,11.64%,0.52,2.26%,7.17%,10.45%,25.42%,20.83%,11.22%,12.50%,17.74%,12.00%,0.00%,0.95%,7.14%,8,9.20%
Dominick Barlow,485,5.0,5.75,0.1,6.67%,3.17,13.01%,2.48,10.96%,12.03%,4.24,0.1,4.35%,2.37,9.27%,1.78,7.47%,8.40%,10.89%,14.29%,15.15%,10.56%,11.94%,7.96%,9.90%,11.11%,6.63%,10.00%,2,4.44%
Jared McCain,384,3.26,6.16,0.25,10.00%,2.09,8.99%,3.82,15.05%,12.15%,0.37,0.0,0.00%,0.12,0.51%,0.25,1.04%,0.77%,10.39%,5.00%,15.63%,15.00%,15.22%,0.00%,1.43%,0.00%,0.67%,2.27%,1,1.22%
Andre Drummond,416,10.78,13.35,0.95,53.33%,6.44,29.19%,5.96,25.00%,27.01%,8.21,0.36,23.08%,6.19,21.14%,1.67,6.60%,14.41%,25.71%,31.40%,31.03%,25.00%,25.00%,21.30%,22.77%,16.22%,5.81%,8.77%,10,18.52%
Adem Bona,247,5.33,5.65,0.39,20.00%,3.9,16.26%,1.36,6.19%,11.44%,5.01,0.58,21.43%,2.31,9.84%,2.12,8.94%,9.39%,14.29%,18.64%,13.33%,6.74%,4.17%,11.48%,7.50%,9.52%,9.47%,7.14%,1,9.09%
Paul George,421,4.52,8.47,1.26,57.89%,3.55,13.84%,3.66,16.08%,14.89%,0.57,0.11,11.11%,0.34,1.17%,0.11,0.45%,0.84%,13.48%,13.86%,14.71%,17.73%,12.07%,0.93%,1.05%,1.89%,0.60%,0.00%,2,1.82%
Johni Broome,11,2.22,4.35,0.0,0.00%,0.0,0.00%,4.35,33.33%,25.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Eric Gordon,38,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Kyle Lowry,39,1.8,3.66,0.0,0.00%,1.22,4.76%,2.44,9.09%,6.98%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,16.67%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
