Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Kelly Oubre Jr.,284,1.18,1.01,0.17,0.67,0.34,0.0,0.17,0.0,0.34,28.57%,1.35,3,5,0.17
Quentin Grimes,817,0.77,0.71,0.06,0.36,0.24,0.12,0.0,0.06,0.42,53.85%,1.6,15,12,0.0
Tyrese Maxey,1009,1.17,0.97,0.19,0.44,0.53,0.0,0.05,0.15,0.87,75.00%,2.28,17,30,0.0
Jabari Walker,335,1.18,1.18,0.0,0.74,0.44,0.0,0.0,0.0,0.44,37.50%,0.74,2,3,0.0
Adem Bona,372,4.25,4.25,0.0,2.71,1.55,0.0,0.0,0.0,1.55,36.36%,0.9,5,2,0.26
Justin Edwards,331,0.44,0.44,0.0,0.29,0.15,0.0,0.0,0.0,0.29,66.67%,2.18,6,9,0.0
VJ Edgecombe,884,0.82,0.71,0.11,0.6,0.11,0.0,0.05,0.05,0.44,53.33%,1.81,12,21,0.22
Andre Drummond,450,2.08,1.64,0.44,0.66,0.66,0.33,0.0,0.44,1.1,52.63%,1.53,5,9,0.11
Joel Embiid,448,1.62,1.62,0.0,1.08,0.54,0.0,0.0,0.0,0.43,26.67%,1.08,1,9,0.32
Dominick Barlow,535,1.54,1.54,0.0,1.18,0.36,0.0,0.0,0.0,0.81,52.94%,1.63,6,12,0.09
Jared McCain,391,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.12,100.00%,2.57,10,11,0.0
Eric Gordon,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,3.06,2,1,0.0
Hunter Sallis,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Paul George,506,0.76,0.57,0.19,0.29,0.29,0.0,0.0,0.19,0.57,75.00%,2.1,8,14,0.0
Johni Broome,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Kyle Lowry,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
