Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Kelly Oubre Jr.,284,1.71,0.85,0.85,50.00%,0.17,0.17,0.68,0.0,0.0,0.0,0.0,0.0
Quentin Grimes,817,2.61,1.3,1.3,50.00%,0.47,0.41,0.83,0.41,0.18,0.0,0.12,0.0
Tyrese Maxey,1009,3.09,1.88,1.21,60.94%,0.72,0.29,1.16,0.58,0.05,0.0,0.05,0.0
Jabari Walker,335,1.74,0.73,1.02,41.67%,0.58,0.29,0.15,0.0,0.0,0.0,0.29,0.0
Adem Bona,372,1.82,0.65,1.17,35.71%,0.39,0.13,0.26,0.26,0.0,0.0,0.0,0.26
Justin Edwards,331,2.2,1.17,1.02,53.33%,0.59,0.0,0.59,0.15,0.15,0.0,0.59,0.0
VJ Edgecombe,884,2.1,1.33,0.77,63.16%,0.5,0.28,0.83,0.28,0.17,0.0,0.0,0.0
Andre Drummond,450,1.55,0.44,1.11,28.57%,0.11,0.22,0.33,0.11,0.0,0.0,0.0,0.11
Joel Embiid,448,4.59,2.45,2.13,53.49%,1.49,0.21,0.96,0.85,0.11,0.0,0.0,0.0
Dominick Barlow,535,1.89,0.63,1.26,33.33%,0.27,0.0,0.36,0.45,0.27,0.0,0.09,0.0
Jared McCain,391,1.94,0.73,1.21,37.50%,0.36,0.36,0.36,0.0,0.48,0.0,0.12,0.0
Eric Gordon,47,3.19,1.06,2.13,33.33%,0.0,0.0,1.06,0.0,1.06,0.0,0.0,0.0
Hunter Sallis,5,11.11,11.11,0.0,100.00%,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0
Paul George,506,3.07,1.72,1.34,56.25%,0.57,0.38,1.15,0.29,0.19,0.0,0.0,0.0
Johni Broome,11,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Lowry,39,2.35,1.18,1.18,50.00%,0.0,0.0,1.18,0.0,1.18,0.0,0.0,0.0
