Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Devin Booker,969,8.71,22.29,3.84,4.87,2.02,1.48,0.34,1.53,3.35
Royce O'Neale,919,4.36,10.33,2.75,1.61,1.56,0.73,0.47,0.47,1.14
Dillon Brooks,801,2.58,6.11,1.62,0.96,1.26,0.36,0.0,0.36,0.6
Nigel Hayes-Davis,105,0.98,2.94,0.0,0.98,0.0,0.0,0.0,0.0,0.98
Collin Gillespie,847,8.28,19.93,4.9,3.38,2.98,1.58,0.34,0.96,2.42
Grayson Allen,482,6.89,16.62,4.05,2.84,2.84,1.01,0.2,1.11,1.72
Nick Richards,204,0.96,2.4,0.48,0.48,0.24,0.24,0.0,0.0,0.48
Mark Williams,631,2.34,5.82,1.21,1.13,0.6,0.38,0.23,0.3,0.83
Oso Ighodaro,561,4.61,11.48,2.35,2.26,1.04,0.61,0.7,0.52,1.74
Ryan Dunn,510,3.92,9.17,2.58,1.34,1.43,0.86,0.29,0.48,0.86
Jordan Goodwin,556,4.77,11.39,2.91,1.85,1.77,0.79,0.35,0.44,1.41
Jamaree Bouyea,205,5.08,12.83,2.42,2.66,2.18,0.24,0.0,0.73,1.94
Isaiah Livers,162,3.23,9.09,0.59,2.64,0.0,0.29,0.29,0.29,2.35
Rasheer Fleming,70,0.71,2.13,0.0,0.71,0.0,0.0,0.0,0.0,0.71
Khaman Maluach,27,1.96,5.88,0.0,1.96,0.0,0.0,0.0,0.0,1.96
Koby Brea,7,13.33,33.33,6.67,6.67,6.67,0.0,0.0,6.67,0.0
