Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Devin Booker,969,3.31,2032,35.38,9.25,17.96,51.51%,2.31,8.02,28.83%,28.83%,9.94,6.59,11.91,4.72,2.21,35.64%,37.02%,68.09%,30.87%,0.5,48.96%,56.71%,0.69,1.38,7.67%,0.0,0.00%,30.59
Royce O'Neale,919,-2.35,1926,16.98,1.19,2.65,45.10%,4.72,10.8,43.75%,43.75%,0.42,1.25,1.14,13.24,0.93,52.17%,60.00%,93.41%,80.31%,0.55,61.58%,61.70%,0.31,0.16,5.88%,0.0,0.00%,13.98
Dillon Brooks,801,0.9,1669,33.01,8.63,15.64,55.17%,3.77,11.26,33.51%,33.51%,4.43,5.15,12.1,9.35,1.98,29.86%,31.16%,82.54%,41.87%,0.51,53.12%,56.57%,0.72,0.6,3.83%,0.12,1.06%,27.88
Nigel Hayes-Davis,105,-26.73,204,6.37,2.45,6.86,35.71%,0.49,3.92,12.50%,12.50%,0.0,1.96,2.94,1.47,0.0,40.00%,40.00%,100.00%,36.36%,0.46,29.55%,29.55%,0.0,0.0,0.00%,0.0,0.00%,10.5
Collin Gillespie,847,4.95,1776,23.7,3.32,7.32,45.38%,5.07,11.94,42.45%,42.45%,1.86,2.25,4.39,11.32,3.89,33.90%,35.09%,74.44%,61.99%,0.52,56.73%,58.85%,0.23,0.84,11.54%,0.06,0.47%,19.9
Grayson Allen,482,-4.48,987,23.3,3.65,7.6,48.00%,4.36,12.26,35.54%,35.54%,2.94,3.65,3.65,9.12,3.95,50.00%,50.00%,69.77%,61.73%,0.53,51.28%,54.27%,0.0,1.32,17.33%,0.1,0.83%,20.75
Nick Richards,204,-14.49,417,17.51,6.95,14.39,48.33%,0.0,0.0,0.00%,0.00%,3.6,9.59,4.32,0.0,0.0,68.97%,90.91%,0.00%,0.00%,0.54,48.33%,51.41%,3.36,2.64,18.33%,0.0,0.00%,17.72
Mark Williams,631,3.22,1323,26.08,10.05,15.12,66.50%,0.08,0.08,100.00%,100.00%,5.74,14.51,5.59,0.23,0.0,72.18%,91.43%,100.00%,0.50%,0.6,66.92%,70.99%,4.23,0.83,5.50%,0.0,0.00%,17.72
Oso Ighodaro,561,7.23,1150,12.61,5.74,9.04,63.46%,0.0,0.09,0.00%,0.00%,1.13,8.7,2.78,0.0,0.0,75.76%,86.21%,0.00%,0.95%,0.58,62.86%,63.04%,1.39,0.78,8.65%,0.09,100.00%,11.24
Ryan Dunn,510,6.5,1047,16.52,4.87,8.69,56.04%,1.81,5.83,31.15%,31.15%,1.34,6.11,3.63,5.44,0.0,62.75%,80.00%,100.00%,40.13%,0.6,52.30%,53.73%,2.1,0.67,7.69%,0.1,1.64%,15.18
Jordan Goodwin,556,5.58,1133,20.39,4.68,10.33,45.30%,3.18,9.53,33.33%,33.33%,1.5,4.24,5.12,8.47,1.06,45.28%,66.67%,88.89%,48.00%,0.56,47.56%,49.15%,3.0,1.06,10.26%,0.0,0.00%,19.19
Jamaree Bouyea,205,7.48,413,25.18,6.78,11.14,60.87%,3.15,7.51,41.94%,41.94%,2.18,5.33,8.23,6.54,2.91,39.29%,42.31%,69.23%,40.26%,0.52,61.69%,64.20%,0.97,1.69,15.22%,0.48,6.45%,17.78
Isaiah Livers,162,15.54,341,8.5,0.59,2.35,25.00%,2.05,6.45,31.82%,31.82%,1.17,1.17,0.0,6.16,0.0,100.00%,100.00%,100.00%,73.33%,0.56,41.67%,45.31%,0.0,1.17,50.00%,0.0,0.00%,9.63
Rasheer Fleming,70,-8.11,141,15.6,4.26,7.8,54.55%,1.42,9.93,14.29%,14.29%,2.84,5.67,2.84,4.26,0.0,66.67%,100.00%,100.00%,56.00%,0.6,36.00%,39.29%,2.84,0.0,0.00%,0.0,0.00%,16.39
Khaman Maluach,27,-11.54,51,15.69,5.88,9.8,60.00%,0.0,0.0,0.00%,0.00%,3.92,7.84,3.92,0.0,0.0,66.67%,66.67%,0.00%,0.00%,0.76,60.00%,66.67%,0.0,3.92,40.00%,0.0,0.00%,14.06
Koby Brea,7,-37.5,15,26.67,6.67,6.67,100.00%,0.0,13.33,0.00%,0.00%,13.33,0.0,13.33,0.0,0.0,0.00%,0.00%,0.00%,66.67%,0.58,33.33%,50.00%,0.0,0.0,0.00%,0.0,0.00%,21.05
