Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Devin Booker,969,2.84,4.46,0.05,2.17%,1.88,8.26%,2.53,10.83%,9.56%,1.23,0.0,0.00%,0.49,2.14%,0.74,2.96%,2.56%,7.60%,9.22%,7.23%,11.33%,9.32%,1.65%,3.16%,0.00%,2.59%,4.13%,7,2.67%
Royce O'Neale,919,4.04,6.95,0.63,29.27%,2.93,12.73%,3.4,15.51%,14.09%,1.14,0.05,3.33%,0.31,1.35%,0.78,3.11%,2.27%,11.81%,11.11%,18.75%,16.09%,13.73%,1.68%,0.83%,2.41%,3.14%,3.00%,2,1.44%
Dillon Brooks,801,2.42,3.63,0.24,10.26%,1.49,6.94%,1.9,8.79%,7.87%,1.2,0.0,0.00%,0.6,2.51%,0.6,2.54%,2.53%,4.84%,9.36%,4.62%,10.07%,5.21%,2.73%,2.93%,1.20%,2.92%,1.18%,5,2.19%
Nigel Hayes-Davis,105,3.5,4.89,0.0,0.00%,2.67,11.11%,2.22,11.36%,11.22%,1.96,0.0,0.00%,1.47,5.36%,0.49,1.82%,3.60%,18.18%,4.17%,12.50%,8.33%,25.00%,7.69%,3.33%,7.69%,2.38%,0.00%,2,13.33%
Collin Gillespie,847,3.32,4.8,0.0,0.00%,2.11,9.39%,2.68,12.27%,10.81%,1.86,0.0,0.00%,0.84,3.58%,1.01,4.17%,3.88%,8.82%,9.38%,10.61%,11.23%,15.31%,7.26%,2.30%,1.28%,4.09%,4.44%,4,2.33%
Grayson Allen,482,2.27,3.82,0.1,4.35%,1.61,7.55%,2.11,9.17%,8.39%,0.71,0.0,0.00%,0.41,1.79%,0.3,1.15%,1.45%,11.48%,5.93%,6.06%,7.78%,12.90%,1.72%,0.78%,5.26%,0.97%,1.85%,1,0.97%
Nick Richards,204,9.5,11.08,0.96,50.00%,4.1,19.32%,6.02,25.51%,22.58%,7.91,0.0,0.00%,5.28,18.33%,2.64,10.48%,14.67%,18.18%,19.51%,21.43%,22.37%,36.36%,20.59%,20.59%,5.56%,10.71%,9.52%,7,35.00%
Mark Williams,631,8.17,9.92,0.53,26.92%,5.38,24.23%,4.02,17.55%,20.84%,6.42,0.08,4.17%,3.55,15.16%,2.8,11.71%,13.42%,16.48%,28.87%,25.00%,16.89%,19.48%,21.98%,13.38%,9.68%,9.66%,17.95%,15,26.79%
Oso Ighodaro,561,5.78,8.43,0.35,14.81%,4.52,18.25%,3.56,16.02%,17.19%,3.13,0.0,0.00%,1.3,5.36%,1.83,7.42%,6.39%,9.65%,26.92%,14.63%,15.43%,17.65%,3.70%,6.85%,3.77%,6.70%,10.17%,1,3.45%
Ryan Dunn,510,5.63,7.14,1.22,46.43%,2.82,12.30%,3.1,12.41%,12.35%,4.11,0.19,11.11%,1.53,6.13%,2.39,10.37%,8.17%,5.62%,13.16%,24.39%,10.95%,16.92%,5.33%,6.57%,6.12%,10.50%,10.00%,6,8.11%
Jordan Goodwin,556,5.42,6.17,0.35,13.79%,2.73,12.45%,3.08,13.41%,12.94%,4.68,0.0,0.00%,2.82,10.00%,1.85,7.72%,8.95%,14.56%,10.71%,11.76%,16.32%,5.63%,9.01%,11.84%,7.02%,8.57%,4.84%,8,6.50%
Jamaree Bouyea,205,3.59,5.21,0.47,22.22%,3.55,12.71%,1.18,6.67%,10.36%,1.94,0.0,0.00%,0.97,3.74%,0.97,4.12%,3.92%,10.00%,13.33%,17.39%,5.45%,10.00%,0.00%,4.17%,8.70%,5.26%,0.00%,1,3.70%
Isaiah Livers,162,3.81,5.28,0.29,20.00%,2.35,9.52%,2.64,10.98%,10.24%,2.35,0.0,0.00%,0.59,2.41%,1.76,6.74%,4.65%,14.81%,9.09%,0.00%,10.29%,14.29%,0.00%,2.44%,6.25%,6.76%,6.67%,0,0.00%
Rasheer Fleming,70,5.78,4.58,1.31,28.57%,0.65,2.94%,2.61,13.33%,7.81%,7.09,0.0,0.00%,4.96,15.91%,2.13,7.14%,11.63%,0.00%,0.00%,33.33%,12.00%,20.00%,5.26%,12.50%,44.44%,7.14%,7.14%,2,11.76%
Khaman Maluach,27,2.68,3.28,1.64,33.33%,1.64,14.29%,0.0,0.00%,5.56%,1.96,0.0,0.00%,0.0,0.00%,1.96,7.69%,3.45%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0,0.00%
