Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Devin Booker,286,0.85,0.85,0.0,0.68,0.17,0.0,0.0,0.0,0.34,40.00%,0.68,2,2,0.0
Royce O'Neale,252,0.59,0.59,0.0,0.59,0.0,0.0,0.0,0.0,0.39,66.67%,1.37,2,5,0.0
Dillon Brooks,227,0.21,0.21,0.0,0.0,0.0,0.21,0.0,0.0,0.21,100.00%,2.32,6,5,0.0
Nigel Hayes-Davis,50,0.9,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.9,100.00%,1.8,0,2,0.0
Collin Gillespie,351,0.42,0.42,0.0,0.14,0.28,0.0,0.0,0.0,0.14,33.33%,2.94,8,13,0.0
Nick Richards,105,2.83,2.83,0.0,1.89,0.94,0.0,0.0,0.0,0.94,33.33%,0.47,0,1,0.47
Jordan Goodwin,300,0.65,0.49,0.16,0.16,0.33,0.0,0.0,0.16,0.16,25.00%,3.6,13,9,0.0
Jamaree Bouyea,121,2.08,2.08,0.0,1.25,0.83,0.0,0.0,0.0,2.08,100.00%,0.83,1,1,0.0
Ryan Dunn,181,1.09,1.09,0.0,0.82,0.27,0.0,0.0,0.0,0.82,75.00%,3.01,5,6,0.0
Isaiah Livers,75,1.99,1.99,0.0,1.32,0.66,0.0,0.0,0.0,1.99,100.00%,2.65,1,3,0.0
Oso Ighodaro,351,1.28,1.13,0.14,0.85,0.28,0.0,0.0,0.14,1.13,88.89%,2.27,8,8,0.0
Khaman Maluach,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,2.7
Jalen Green,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Rasheer Fleming,40,1.09,1.09,0.0,1.09,0.0,0.0,0.0,0.0,1.09,100.00%,0.0,0,0,0.0
Koby Brea,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
