Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Devin Booker,969,4.92,3.54,1.38,72.00%,1.72,0.3,1.82,0.3,0.15,0.0,0.0,0.0
Royce O'Neale,919,2.28,1.71,0.57,75.00%,0.42,0.05,1.3,0.21,0.0,0.0,0.05,0.0
Dillon Brooks,801,3.06,1.5,1.56,49.02%,0.9,0.12,0.6,0.42,0.24,0.0,0.24,0.0
Nigel Hayes-Davis,105,1.47,0.49,0.98,33.33%,0.0,0.0,0.49,0.0,0.49,0.0,0.0,0.0
Collin Gillespie,847,2.98,2.08,0.9,69.81%,0.9,0.17,1.18,0.45,0.06,0.0,0.17,0.0
Grayson Allen,482,2.63,1.62,1.01,61.54%,0.71,0.0,0.91,0.3,0.0,0.0,0.1,0.0
Nick Richards,204,4.56,1.44,3.12,31.58%,0.48,0.24,0.96,0.72,0.0,0.0,0.0,0.48
Mark Williams,631,2.12,0.83,1.28,39.29%,0.45,0.08,0.38,0.3,0.08,0.0,0.0,0.0
Oso Ighodaro,561,2.96,1.22,1.74,41.18%,0.52,0.0,0.7,0.61,0.09,0.0,0.0,0.0
Ryan Dunn,510,2.29,1.15,1.15,50.00%,0.1,0.1,1.05,0.29,0.1,0.0,0.0,0.0
Jordan Goodwin,556,2.38,1.15,1.24,48.15%,0.44,0.26,0.71,0.35,0.09,0.0,0.18,0.0
Jamaree Bouyea,205,0.97,0.0,0.97,0.00%,0.0,0.48,0.0,0.48,0.0,0.0,0.0,0.0
Isaiah Livers,162,2.05,2.05,0.0,100.00%,0.29,0.0,1.76,0.0,0.0,0.0,0.0,0.0
Rasheer Fleming,70,1.42,1.42,0.0,100.00%,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0
Khaman Maluach,27,5.88,1.96,3.92,33.33%,0.0,0.0,1.96,1.96,0.0,0.0,0.0,0.0
Koby Brea,7,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
