Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Robert Williams III,268,2.86,6.98,1.61,1.25,0.54,0.72,0.36,0.18,1.07
Deni Avdija,800,10.44,26.25,5.07,5.37,3.82,0.89,0.36,1.67,3.7
Shaedon Sharpe,585,4.02,10.54,1.53,2.49,1.05,0.4,0.08,0.8,1.69
Caleb Love,393,4.96,11.97,2.9,2.06,2.3,0.48,0.12,0.48,1.57
Kris Murray,603,2.05,4.74,1.42,0.63,0.95,0.39,0.08,0.08,0.55
Sidy Cissoko,467,3.8,9.55,1.85,1.95,1.54,0.31,0.0,0.41,1.54
Toumani Camara,706,3.67,9.31,1.7,1.97,1.29,0.27,0.14,0.27,1.7
Duop Reath,132,2.56,6.23,1.47,1.1,1.1,0.37,0.0,0.37,0.73
Jerami Grant,549,4.33,10.56,2.42,1.9,1.99,0.35,0.09,0.43,1.47
Rayan Rupert,164,2.11,5.12,1.2,0.9,0.9,0.0,0.3,0.0,0.9
Donovan Clingan,482,4.03,9.57,2.52,1.51,2.22,0.1,0.2,0.1,1.41
Blake Wesley,79,8.82,22.35,4.12,4.71,3.53,0.59,0.0,0.59,4.12
Javonte Cooke,11,4.55,9.09,4.55,0.0,4.55,0.0,0.0,0.0,0.0
Matisse Thybulle,20,2.27,6.82,0.0,2.27,0.0,0.0,0.0,0.0,2.27
Yang Hansen,88,3.61,8.76,2.06,1.55,2.06,0.0,0.0,0.52,1.03
