Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Robert Williams III,268,-5.53,559,17.89,7.87,10.2,77.19%,0.0,1.25,0.00%,0.00%,2.15,12.52,3.22,0.0,0.0,79.55%,94.59%,0.00%,10.94%,0.61,68.75%,69.44%,2.5,0.54,5.26%,0.0,0.00%,12.58
Deni Avdija,800,-3.0,1676,34.84,7.22,13.42,53.78%,3.04,8.71,34.93%,34.93%,11.28,5.01,9.43,7.34,1.79,34.71%,35.59%,80.39%,39.35%,0.54,53.23%,61.02%,0.36,1.79,13.33%,0.0,0.00%,28.45
Shaedon Sharpe,585,-5.53,1243,35.64,9.73,20.27,48.02%,3.7,10.14,36.51%,36.51%,5.07,7.56,11.91,5.79,5.31,38.84%,40.52%,52.17%,33.33%,0.54,50.26%,53.77%,0.8,2.09,10.32%,0.08,0.79%,32.55
Caleb Love,393,-15.2,827,20.92,3.51,8.22,42.65%,3.99,14.03,28.45%,28.45%,1.93,3.14,3.87,11.25,0.73,44.83%,44.83%,93.94%,63.04%,0.53,42.66%,44.59%,0.0,1.69,20.59%,0.12,0.86%,22.41
Kris Murray,603,-7.34,1266,10.43,3.0,4.42,67.86%,1.11,3.87,28.57%,28.57%,1.11,3.79,2.21,3.32,0.0,63.16%,75.00%,100.00%,46.67%,0.58,56.19%,57.39%,0.95,0.47,10.71%,0.0,0.00%,9.18
Sidy Cissoko,467,0.94,974,11.91,2.05,4.0,51.28%,1.85,7.08,26.09%,26.09%,2.26,2.87,1.23,5.24,0.31,70.00%,73.68%,94.44%,63.89%,0.56,43.52%,48.33%,0.21,0.72,17.95%,0.0,0.00%,12.64
Toumani Camara,706,-2.88,1472,18.14,2.79,5.03,55.41%,3.6,10.53,34.19%,34.19%,1.77,2.85,2.72,9.78,1.02,51.22%,67.74%,90.57%,67.69%,0.56,52.62%,54.27%,1.36,0.54,10.81%,0.0,0.00%,16.37
Duop Reath,132,-26.89,273,12.82,0.73,2.93,25.00%,3.66,8.79,41.67%,41.67%,0.37,1.47,0.0,9.89,1.1,100.00%,100.00%,90.00%,75.00%,0.55,53.13%,53.03%,0.0,0.73,25.00%,0.0,0.00%,12.34
Jerami Grant,549,-4.59,1155,31.43,5.19,11.52,45.11%,4.16,11.26,36.92%,36.92%,8.57,5.37,5.02,12.21,0.26,51.67%,58.49%,97.92%,49.43%,0.54,50.19%,58.28%,1.21,2.08,18.05%,0.0,0.00%,25.73
Rayan Rupert,164,-10.6,332,8.73,2.41,5.12,47.06%,1.2,5.72,21.05%,21.05%,0.3,2.41,2.41,3.61,0.0,50.00%,66.67%,100.00%,52.78%,0.56,38.89%,39.19%,1.2,0.6,11.76%,0.0,0.00%,11.14
Donovan Clingan,482,-0.19,993,20.85,6.04,10.37,58.25%,1.81,3.93,46.15%,46.15%,3.32,6.45,5.64,5.14,0.3,53.33%,84.21%,94.44%,27.46%,0.55,61.27%,62.35%,4.43,1.01,9.71%,0.0,0.00%,15.34
Blake Wesley,79,-6.05,170,16.47,4.71,10.59,44.44%,1.18,5.29,22.22%,22.22%,3.53,1.18,8.24,3.53,0.0,12.50%,12.50%,100.00%,33.33%,0.6,40.74%,45.16%,0.0,1.76,16.67%,0.0,0.00%,17.16
Javonte Cooke,11,-18.18,22,18.18,9.09,22.73,40.00%,0.0,9.09,0.00%,0.00%,0.0,18.18,0.0,0.0,0.0,100.00%,100.00%,0.00%,28.57%,0.54,28.57%,28.57%,0.0,9.09,40.00%,0.0,0.00%,28.13
Matisse Thybulle,20,-2.27,44,15.91,2.27,4.55,50.00%,2.27,4.55,50.00%,50.00%,4.55,0.0,4.55,6.82,0.0,0.00%,0.00%,100.00%,50.00%,0.67,62.50%,70.00%,0.0,0.0,0.00%,0.0,0.00%,9.8
Yang Hansen,88,-4.89,194,13.92,4.12,8.25,50.00%,0.52,5.67,9.09%,9.09%,4.12,3.09,5.15,1.55,0.0,37.50%,50.00%,100.00%,40.74%,0.55,35.19%,43.55%,2.06,1.55,18.75%,0.0,0.00%,19.82
