Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Robert Williams III,186,10.17,14.43,1.8,46.67%,7.47,30.53%,5.15,22.73%,26.78%,5.91,0.0,0.00%,3.08,13.33%,2.83,10.48%,11.79%,12.90%,35.56%,47.37%,24.62%,17.39%,23.53%,10.53%,0.00%,8.97%,14.81%,2,33.33%
Deni Avdija,575,5.07,8.97,0.75,30.00%,3.86,14.94%,4.36,19.26%,16.96%,1.17,0.08,2.86%,0.67,2.92%,0.42,1.52%,2.16%,17.70%,12.59%,15.00%,18.91%,20.29%,2.31%,4.81%,0.00%,1.64%,1.19%,7,5.30%
Shaedon Sharpe,448,3.2,4.4,0.0,0.00%,1.68,6.30%,2.73,11.66%,8.81%,1.99,0.0,0.00%,1.15,4.98%,0.84,3.11%,3.97%,5.32%,4.59%,11.76%,12.12%,10.34%,6.19%,5.41%,2.00%,2.17%,5.48%,6,4.14%
Caleb Love,379,2.69,4.36,0.12,5.00%,1.99,8.33%,2.24,10.29%,9.26%,1.01,0.13,4.76%,0.25,1.17%,0.63,2.34%,1.82%,6.15%,8.14%,12.20%,9.56%,12.82%,1.22%,1.64%,0.00%,3.03%,0.00%,1,1.05%
Kris Murray,404,3.7,4.22,0.0,0.00%,2.46,9.46%,1.76,8.02%,8.80%,3.17,0.0,0.00%,1.41,6.59%,1.76,6.49%,6.54%,10.29%,8.26%,11.11%,6.16%,14.63%,6.90%,4.76%,9.38%,6.67%,6.06%,0,0.00%
Sidy Cissoko,317,2.44,2.88,0.3,9.09%,1.21,4.91%,1.36,6.12%,5.48%,1.99,0.0,0.00%,0.46,2.10%,1.53,5.52%,4.01%,3.13%,7.46%,3.13%,7.27%,2.70%,3.33%,0.00%,5.26%,4.44%,8.70%,1,2.00%
Rayan Rupert,173,3.78,6.18,0.28,16.67%,3.65,12.50%,2.25,11.27%,12.00%,1.4,0.0,0.00%,0.56,2.50%,0.84,3.19%,2.87%,12.50%,14.81%,5.56%,9.80%,15.00%,2.50%,3.45%,0.00%,4.23%,0.00%,0,0.00%
Toumani Camara,526,3.8,4.75,0.46,17.24%,2.19,8.82%,2.1,9.13%,8.97%,2.84,0.27,8.11%,0.82,3.40%,1.74,6.25%,4.92%,7.53%,11.29%,5.45%,10.11%,6.25%,5.65%,1.03%,2.27%,5.26%,9.21%,3,3.13%
Duop Reath,80,3.0,5.36,1.19,40.00%,1.79,8.11%,2.38,11.11%,9.59%,0.61,0.0,0.00%,0.0,0.00%,0.61,2.63%,1.27%,5.56%,16.67%,0.00%,3.85%,30.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0,0.00%
Yang Hansen,66,4.71,6.67,0.0,0.00%,4.0,15.38%,2.67,10.26%,12.82%,2.72,0.0,0.00%,2.72,12.50%,0.0,0.00%,6.45%,17.65%,25.00%,0.00%,13.33%,0.00%,14.29%,12.50%,0.00%,0.00%,0.00%,0,0.00%
Donovan Clingan,389,10.4,11.75,0.38,23.08%,6.38,23.72%,5.0,21.16%,22.52%,9.05,0.13,4.17%,4.77,21.84%,4.15,14.73%,17.84%,18.03%,23.81%,30.61%,24.26%,13.21%,26.51%,18.03%,16.67%,14.55%,15.25%,7,18.42%
Matisse Thybulle,7,3.23,6.67,0.0,0.00%,6.67,33.33%,0.0,0.00%,12.50%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Blake Wesley,22,1.02,2.04,0.0,0.00%,2.04,9.09%,0.0,0.00%,5.26%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Javonte Cooke,0,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
