Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Robert Williams III,268,4.77,4.06,0.71,1.06,2.47,0.53,0.18,0.53,2.83,59.26%,1.94,3,8,0.0
Deni Avdija,800,0.83,0.77,0.06,0.24,0.41,0.12,0.0,0.06,0.53,64.29%,1.06,8,10,0.0
Shaedon Sharpe,585,0.16,0.16,0.0,0.08,0.08,0.0,0.0,0.0,0.08,50.00%,2.44,14,17,0.16
Caleb Love,393,0.35,0.24,0.12,0.0,0.12,0.12,0.12,0.0,0.24,66.67%,1.3,6,5,0.0
Kris Murray,603,0.78,0.78,0.0,0.39,0.39,0.0,0.0,0.0,0.31,40.00%,2.26,10,19,0.0
Sidy Cissoko,467,0.4,0.4,0.0,0.3,0.1,0.0,0.0,0.0,0.3,75.00%,1.51,4,11,0.1
Toumani Camara,706,0.6,0.6,0.0,0.53,0.07,0.0,0.0,0.0,0.33,55.56%,1.53,6,17,0.0
Duop Reath,132,1.07,1.07,0.0,0.71,0.36,0.0,0.0,0.0,0.0,0.00%,1.07,2,1,0.0
Jerami Grant,549,1.02,0.85,0.17,0.42,0.34,0.08,0.08,0.08,0.68,66.67%,0.85,4,6,0.0
Rayan Rupert,164,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.00%,1.18,2,2,0.0
Donovan Clingan,482,2.5,2.1,0.4,1.0,1.1,0.0,0.1,0.3,1.7,68.00%,0.9,3,6,0.1
Blake Wesley,79,0.57,0.57,0.0,0.0,0.0,0.57,0.0,0.0,0.57,100.00%,4.02,3,4,0.0
Javonte Cooke,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,4.17,0,1,0.0
Matisse Thybulle,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,6.82,1,2,0.0
Yang Hansen,88,1.5,1.5,0.0,0.5,1.0,0.0,0.0,0.0,1.5,100.00%,0.5,1,0,0.0
