Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Robert Williams III,268,1.79,0.89,0.89,50.00%,0.54,0.0,0.36,0.0,0.0,0.0,0.0,0.54
Deni Avdija,800,5.49,3.46,2.03,63.04%,1.55,0.72,1.91,0.72,0.12,0.0,0.06,0.0
Shaedon Sharpe,585,5.07,3.78,1.29,74.60%,1.93,0.64,1.85,0.4,0.0,0.0,0.08,0.0
Caleb Love,393,2.66,2.3,0.36,86.36%,0.73,0.12,1.57,0.0,0.12,0.0,0.12,0.0
Kris Murray,603,1.9,1.03,0.87,54.17%,0.16,0.16,0.87,0.32,0.08,0.0,0.0,0.0
Sidy Cissoko,467,2.77,1.54,1.23,55.56%,0.62,0.21,0.92,0.31,0.21,0.0,0.1,0.1
Toumani Camara,706,2.79,1.97,0.82,70.73%,0.34,0.2,1.63,0.34,0.0,0.0,0.0,0.0
Duop Reath,132,2.2,1.47,0.73,66.67%,0.73,0.73,0.73,0.0,0.0,0.0,0.0,0.0
Jerami Grant,549,3.9,2.25,1.65,57.78%,0.95,0.43,1.3,0.35,0.26,0.0,0.09,0.0
Rayan Rupert,164,2.11,1.2,0.9,57.14%,0.6,0.0,0.6,0.6,0.0,0.0,0.0,0.0
Donovan Clingan,482,2.01,1.01,1.01,50.00%,0.5,0.2,0.5,0.3,0.0,0.0,0.0,0.0
Blake Wesley,79,2.35,1.18,1.18,50.00%,0.59,0.0,0.59,0.59,0.0,0.0,0.0,0.0
Javonte Cooke,11,9.09,9.09,0.0,100.00%,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0
Matisse Thybulle,20,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yang Hansen,88,6.7,3.09,3.61,46.15%,2.06,0.52,1.03,0.0,0.0,0.0,0.0,0.0
