Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Malik Monk,309,4.08,9.52,2.72,1.36,1.36,1.21,0.15,0.45,0.91
Drew Eubanks,270,0.71,1.79,0.36,0.36,0.18,0.18,0.0,0.0,0.36
Precious Achiuwa,201,3.07,6.84,2.36,0.71,1.42,0.71,0.24,0.0,0.71
Keon Ellis,243,1.59,3.98,0.8,0.8,0.8,0.0,0.0,0.2,0.6
Nique Clifford,294,3.73,8.59,2.59,1.13,1.13,1.46,0.0,0.49,0.65
DeMar DeRozan,357,5.62,14.73,2.14,3.48,1.61,0.54,0.0,0.67,2.81
Dennis Schröder,308,10.22,23.43,7.23,2.99,3.14,3.46,0.63,0.94,2.04
Devin Carter,34,5.8,15.94,1.45,4.35,1.45,0.0,0.0,4.35,0.0
Russell Westbrook,327,11.11,26.12,7.22,3.9,3.61,3.17,0.43,1.15,2.74
Zach LaVine,201,3.1,7.16,2.15,0.95,0.72,0.72,0.72,0.24,0.72
Isaac Jones,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Cardwell,92,3.68,8.95,2.11,1.58,0.0,1.05,1.05,0.0,1.58
Dario Šarić,33,1.52,4.55,0.0,1.52,0.0,0.0,0.0,0.0,1.52
Maxime Raynaud,176,2.47,5.77,1.65,0.82,0.0,1.1,0.55,0.27,0.55
Doug McDermott,35,2.82,7.04,1.41,1.41,1.41,0.0,0.0,1.41,0.0
