Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Malik Monk,309,-10.35,647,28.9,5.72,12.67,45.12%,4.17,9.12,45.76%,45.76%,4.95,4.64,6.8,8.81,3.71,40.54%,41.67%,70.37%,41.84%,0.5,54.96%,58.49%,0.31,1.85,14.63%,0.0,0.00%,24.27
Drew Eubanks,152,-1.74,317,14.2,6.31,8.83,71.43%,0.0,0.0,0.00%,0.00%,1.58,11.99,0.63,0.0,0.0,95.00%,95.00%,0.00%,0.00%,0.52,71.43%,70.31%,0.0,0.0,0.00%,0.0,0.00%,11.71
Precious Achiuwa,263,-3.3,551,17.97,5.81,13.25,43.84%,1.09,2.54,42.86%,42.86%,3.09,7.99,3.63,3.27,0.0,68.75%,88.00%,100.00%,16.09%,0.55,47.13%,49.01%,2.54,1.45,10.96%,0.0,0.00%,16.61
Keegan Murray,274,-6.72,549,18.76,5.83,12.02,48.48%,1.64,5.83,28.13%,28.13%,2.19,7.29,4.37,4.92,0.0,62.50%,62.50%,100.00%,32.65%,0.49,46.43%,49.05%,0.0,1.09,9.09%,0.0,0.00%,18.14
Nique Clifford,304,-3.52,621,14.49,3.54,6.92,51.16%,1.77,6.12,28.95%,28.95%,2.09,3.54,3.54,5.31,0.0,50.00%,57.89%,100.00%,46.91%,0.53,47.53%,50.56%,0.97,0.64,9.30%,0.0,0.00%,15.42
Russell Westbrook,356,-9.19,742,25.61,6.2,12.8,48.42%,3.37,9.84,34.25%,34.25%,3.1,2.96,9.43,7.68,2.43,23.91%,24.44%,76.00%,43.45%,0.52,49.70%,51.35%,0.27,0.94,7.37%,0.0,0.00%,25.47
DeMar DeRozan,448,-5.76,924,32.36,9.85,18.51,53.22%,1.08,3.03,35.71%,35.71%,9.42,7.79,11.9,2.27,0.97,39.56%,40.00%,70.00%,14.07%,0.46,53.27%,61.49%,0.22,1.08,5.85%,0.0,0.00%,24.36
Keon Ellis,255,-5.7,536,12.5,1.87,3.54,52.63%,2.61,9.51,27.45%,27.45%,0.93,2.61,1.12,7.84,0.0,70.00%,70.00%,100.00%,72.86%,0.54,44.29%,45.27%,0.0,0.19,5.26%,0.19,1.96%,13.34
Dennis Schröder,289,-3.39,593,30.35,5.4,13.32,40.51%,3.88,8.09,47.92%,47.92%,7.93,1.69,9.11,7.59,4.05,15.63%,15.63%,65.22%,37.80%,0.49,52.36%,59.21%,0.0,2.19,16.46%,0.17,2.08%,26.03
Devin Carter,30,29.32,63,14.29,3.17,4.76,66.67%,1.59,6.35,25.00%,25.00%,3.17,0.0,6.35,4.76,0.0,0.00%,0.00%,100.00%,57.14%,0.52,50.00%,56.25%,3.17,1.59,33.33%,0.0,0.00%,16.67
Isaac Jones,3,46.67,5,20.0,0.0,0.0,0.00%,0.0,20.0,0.00%,0.00%,20.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,100.00%,0.55,0.00%,25.00%,0.0,0.0,0.00%,0.0,0.00%,33.33
Maxime Raynaud,282,-16.9,571,23.47,9.11,15.76,57.78%,0.7,1.75,40.00%,40.00%,3.15,15.06,3.15,2.1,0.0,82.69%,95.56%,100.00%,10.00%,0.52,58.00%,60.91%,2.45,0.7,4.44%,0.0,0.00%,19.24
Dylan Cardwell,126,-0.37,256,8.98,2.73,5.47,50.00%,0.0,0.0,0.00%,0.00%,3.52,4.69,0.78,0.0,0.0,85.71%,100.00%,0.00%,0.00%,0.48,50.00%,52.27%,0.78,0.78,14.29%,0.0,0.00%,8.85
Doug McDermott,29,-22.95,61,14.75,0.0,0.0,0.00%,4.92,13.11,37.50%,37.50%,0.0,0.0,0.0,14.75,0.0,0.00%,0.00%,100.00%,100.00%,0.58,56.25%,56.25%,0.0,0.0,0.00%,0.0,0.00%,11.43
Dario Šarić,20,-24.77,39,0.0,0.0,5.13,0.00%,0.0,2.56,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,33.33%,0.6,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,11.63
