Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Malik Monk,309,2.25,4.17,0.15,6.67%,2.09,9.79%,1.94,8.90%,9.34%,0.3,0.0,0.00%,0.15,0.58%,0.15,0.86%,0.69%,9.30%,7.04%,17.24%,11.32%,2.50%,0.00%,1.09%,0.00%,1.19%,0.00%,0,0.00%
Drew Eubanks,270,4.18,6.21,0.71,30.77%,2.48,12.28%,3.01,11.97%,12.11%,2.14,0.0,0.00%,1.07,4.14%,1.07,6.38%,5.02%,14.29%,14.08%,0.00%,8.82%,20.00%,6.25%,2.63%,5.41%,5.80%,8.00%,0,0.00%
Precious Achiuwa,201,6.66,8.33,0.69,42.86%,3.47,16.85%,4.17,19.15%,18.03%,4.95,0.24,7.14%,3.07,10.32%,1.65,9.72%,10.10%,16.67%,13.33%,25.00%,18.75%,20.00%,17.07%,8.93%,3.45%,10.53%,6.67%,5,16.67%
Keon Ellis,243,1.78,2.55,0.0,0.00%,0.98,4.72%,1.57,7.77%,6.22%,0.99,0.0,0.00%,0.0,0.00%,0.99,4.81%,2.02%,4.17%,4.92%,4.76%,8.00%,7.14%,0.00%,0.00%,0.00%,6.02%,0.00%,1,2.38%
Nique Clifford,294,4.34,5.89,0.16,7.14%,3.34,14.48%,2.39,11.11%,12.86%,2.76,0.0,0.00%,1.94,7.10%,0.81,4.39%,6.01%,15.79%,14.46%,12.50%,12.50%,7.69%,2.44%,10.99%,2.70%,3.41%,7.69%,2,5.13%
DeMar DeRozan,357,2.46,3.55,0.13,5.56%,1.97,8.77%,1.45,7.05%,7.95%,1.34,0.0,0.00%,0.67,2.33%,0.67,3.85%,2.90%,18.75%,5.38%,3.33%,7.89%,4.76%,2.04%,3.60%,0.00%,5.00%,0.00%,4,5.56%
Dennis Schröder,308,3.5,6.16,0.0,0.00%,2.77,12.50%,3.39,13.92%,13.25%,0.79,0.0,0.00%,0.16,0.57%,0.63,3.33%,1.69%,15.79%,10.00%,15.38%,10.34%,23.81%,0.00%,0.00%,2.33%,3.30%,3.45%,1,1.52%
Devin Carter,34,4.35,4.35,0.0,0.00%,2.9,20.00%,1.45,5.00%,10.00%,4.35,0.0,0.00%,2.9,20.00%,1.45,6.67%,12.00%,0.00%,33.33%,50.00%,7.69%,0.00%,0.00%,0.00%,40.00%,7.69%,0.00%,0,0.00%
Russell Westbrook,327,6.11,9.17,0.86,37.50%,3.3,14.56%,5.01,23.97%,19.08%,3.03,0.0,0.00%,2.45,8.81%,0.58,3.39%,6.75%,8.00%,15.85%,23.08%,24.07%,23.68%,13.73%,7.61%,6.00%,2.22%,7.14%,3,4.41%
Zach LaVine,201,1.88,3.49,0.23,10.00%,1.63,7.37%,1.63,7.78%,7.57%,0.24,0.0,0.00%,0.24,0.99%,0.0,0.00%,0.53%,3.13%,10.20%,7.14%,8.70%,4.76%,0.00%,1.92%,0.00%,0.00%,0.00%,0,0.00%
