Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Malik Monk,309,0.6,0.6,0.0,0.0,0.45,0.15,0.0,0.0,0.3,50.00%,1.94,2,11,0.0
Drew Eubanks,270,3.01,3.01,0.0,1.6,1.42,0.0,0.0,0.0,1.6,52.94%,1.42,5,3,0.35
Precious Achiuwa,201,0.69,0.69,0.0,0.69,0.0,0.0,0.0,0.0,0.23,33.33%,2.55,6,5,0.0
Keon Ellis,243,1.57,1.18,0.39,0.39,0.79,0.0,0.0,0.39,1.18,75.00%,3.14,8,8,0.0
Nique Clifford,294,0.8,0.8,0.0,0.32,0.48,0.0,0.0,0.0,0.16,20.00%,1.43,5,4,0.0
DeMar DeRozan,357,0.39,0.39,0.0,0.0,0.26,0.13,0.0,0.0,0.0,0.00%,2.24,5,12,0.0
Dennis Schröder,308,0.31,0.31,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.00%,1.39,3,6,0.0
Devin Carter,34,1.45,1.45,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.00%,4.35,0,3,0.0
Russell Westbrook,327,0.29,0.29,0.0,0.14,0.14,0.0,0.0,0.0,0.14,50.00%,2.15,8,7,0.0
Zach LaVine,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.16,1,4,0.0
Isaac Jones,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Dylan Cardwell,92,3.63,3.63,0.0,1.55,2.07,0.0,0.0,0.0,1.04,28.57%,2.07,2,2,1.04
Dario Šarić,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Maxime Raynaud,176,1.3,1.3,0.0,0.52,0.78,0.0,0.0,0.0,1.04,80.00%,1.3,2,3,0.0
Doug McDermott,35,1.35,1.35,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
