Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Malik Monk,309,2.42,1.96,0.45,81.25%,0.6,0.15,1.36,0.15,0.0,0.0,0.15,0.0
Drew Eubanks,270,3.04,1.61,1.43,52.94%,1.25,0.0,0.36,0.36,0.0,0.0,0.0,0.18
Precious Achiuwa,201,1.89,0.47,1.42,25.00%,0.24,0.24,0.24,0.24,0.24,0.0,0.0,0.0
Keon Ellis,243,1.39,0.8,0.6,57.14%,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0
Nique Clifford,294,2.59,1.94,0.65,75.00%,0.81,0.16,1.13,0.16,0.16,0.0,0.0,0.0
DeMar DeRozan,357,1.87,1.34,0.54,71.43%,0.54,0.0,0.8,0.27,0.0,0.0,0.0,0.0
Dennis Schröder,308,4.09,2.52,1.57,61.54%,0.63,0.47,1.89,0.47,0.16,0.0,0.31,0.0
Devin Carter,34,5.8,2.9,2.9,50.00%,1.45,0.0,1.45,0.0,0.0,0.0,1.45,0.0
Russell Westbrook,327,4.62,3.03,1.59,65.63%,0.87,0.0,2.16,1.01,0.29,0.0,0.14,0.0
Zach LaVine,201,3.82,2.15,1.67,56.25%,1.19,0.48,0.95,0.72,0.24,0.0,0.24,0.0
Isaac Jones,7,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Cardwell,92,2.11,0.53,1.58,25.00%,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.53
Dario Šarić,33,3.03,1.52,1.52,50.00%,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxime Raynaud,176,2.2,1.1,1.1,50.00%,0.82,0.27,0.27,0.0,0.0,0.0,0.0,0.0
Doug McDermott,35,1.41,1.41,0.0,100.00%,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0
