Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
De'Aaron Fox,267,9.06,23.19,3.99,5.07,2.9,0.36,0.72,1.81,3.26
Luke Kornet,158,3.08,7.38,1.85,1.23,1.23,0.62,0.0,0.31,0.92
Keldon Johnson,351,2.86,6.82,1.77,1.09,0.82,0.55,0.41,0.68,0.41
Lindy Waters III,68,1.43,2.86,1.43,0.0,0.71,0.71,0.0,0.0,0.0
Julian Champagnie,333,2.62,5.96,1.89,0.73,1.16,0.29,0.44,0.44,0.29
Stephon Castle,154,11.8,27.64,7.76,4.04,7.76,0.0,0.0,1.86,2.17
Carter Bryant,144,1.01,2.69,0.34,0.67,0.34,0.0,0.0,0.34,0.34
Jeremy Sochan,132,2.91,7.64,1.09,1.82,0.36,0.0,0.73,0.0,1.82
Victor Wembanyama,206,4.59,11.11,2.66,1.93,2.42,0.24,0.0,0.72,1.21
David Jones Garcia,41,11.11,26.67,6.67,4.44,4.44,2.22,0.0,2.22,2.22
Dylan Harper,194,8.68,20.6,5.46,3.23,3.23,1.99,0.25,1.49,1.74
Harrison Barnes,196,3.31,7.89,2.04,1.27,1.27,0.76,0.0,0.51,0.76
Kelly Olynyk,83,8.38,19.16,5.99,2.4,4.19,1.8,0.0,0.0,2.4
Bismack Biyombo,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan McLaughlin,56,4.96,10.74,4.13,0.83,3.31,0.83,0.0,0.83,0.0
Harrison Ingram,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riley Minix,5,8.33,16.67,8.33,0.0,8.33,0.0,0.0,0.0,0.0
